timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2015920000,32767,32767,32767,32767,32767,32767,32767
2015924000,32767,32767,32767,32767,32767,32767,32767
2015928000,32767,32767,32767,32767,32767,32767,32767
2015932000,32767,32767,32767,32767,32767,32767,32767
2015936000,32767,32767,32767,32767,32767,32767,32767
2015940000,32767,32767,32767,32767,32767,32767,32767
2015944000,32767,32767,32767,32767,32767,0,32767
2015948000,32767,32767,32767,32767,-40,32767,32767
2015952000,32767,32767,32767,32767,32767,32767,32767
2015956000,32767,32767,32767,32767,32767,32767,32767
2015960000,32767,32767,32767,32767,32767,32767,32767
2015964000,32767,32767,32767,32767,32767,32767,32767
2015968000,32767,32767,32767,32767,32767,32767,32767
2015972000,32767,32767,32767,32767,32767,32767,32767
2015976000,32767,32767,32767,32767,32767,32767,32767
2015980000,32767,32767,32767,32767,32767,32767,32767
2015984000,32767,32767,32767,32767,32767,32767,32767
2015988000,32767,32767,32767,32767,32767,32767,32767
2015992000,32767,32767,32767,32767,32767,32767,32767
2015996000,32767,32767,32767,32767,32767,32767,32767
2016000000,32767,32767,32767,32767,32767,32767,32767
2016004000,32767,32767,32767,32767,32767,32767,32767
2016008000,32767,32767,32767,32767,32767,32767,32767
2016012000,32767,32767,32767,32767,32767,32767,32767
2016016000,32767,32767,32767,32767,0,32767,32767
2016020000,32767,32767,32767,32767,32767,32767,32767
2016024000,32767,32767,32767,32767,32767,32767,32767
2016028000,32767,32767,32767,32767,32767,32767,32767
2016032000,32767,32767,32767,32767,32767,-40,32767
2016036000,32767,32767,32767,32767,32767,32767,32767
2016040000,32767,32767,32767,32767,32767,32767,32767
2016044000,32767,32767,32767,32767,32767,32767,32767
2016048000,32767,32767,32767,32767,32767,32767,32767
2016052000,32767,32767,32767,32767,32767,32767,32767
2016056000,32767,32767,32767,32767,32767,32767,32767
2016060000,32767,32767,32767,32767,32767,32767,32767
2016064000,32767,32767,32767,32767,32767,32767,32767
2016068000,32767,32767,32767,32767,32767,32767,32767
2016072000,32767,32767,32767,32767,32767,32767,32767
2016076000,32767,32767,32767,32767,32767,32767,32767
2016080000,32767,32767,32767,32767,32767,32767,32767
2016084000,32767,32767,32767,32767,32767,32767,32767
2016088000,32767,32767,32767,32767,0,0,32767
2016092000,32767,32767,32767,32767,32767,32767,32767
2016096000,32767,32767,32767,32767,32767,32767,32767
2016100000,32767,32767,32767,32767,32767,32767,32767
2016104000,32767,32767,32767,32767,32767,32767,32767
2016108000,32767,32767,32767,32767,32767,32767,32767
2016112000,32767,32767,32767,32767,32767,32767,32767
2016116000,32767,32767,32767,32767,32767,32767,32767
2016120000,32767,32767,32767,32767,32767,32767,32767
2016124000,32767,32767,32767,32767,32767,32767,32767
2016128000,32767,32767,32767,32767,32767,32767,32767
2016132000,32767,32767,32767,32767,32767,32767,32767
2016136000,32767,32767,32767,32767,32767,32767,32767
2016140000,32767,32767,32767,32767,32767,32767,32767
2016144000,32767,32767,32767,32767,32767,32767,32767
2016148000,32767,32767,32767,32767,32767,32767,32767
2016152000,32767,32767,32767,32767,32767,32767,32767
2016156000,32767,32767,32767,32767,32767,32767,32767
2016160000,32767,32767,32767,32767,32767,32767,32767
2016164000,32767,32767,32767,32767,-40,32767,32767
2016168000,32767,32767,32767,32767,32767,32767,32767
2016172000,32767,32767,32767,32767,32767,0,32767
2016176000,32767,32767,32767,32767,32767,32767,32767
2016180000,32767,32767,32767,32767,32767,32767,32767
2016184000,32767,32767,32767,32767,32767,32767,32767
2016188000,32767,32767,32767,32767,32767,32767,32767
2016192000,32767,32767,32767,32767,32767,32767,32767
2016196000,32767,32767,32767,32767,32767,32767,32767
2016200000,32767,32767,32767,32767,32767,32767,32767
2016204000,32767,32767,32767,32767,32767,32767,32767
2016208000,32767,32767,32767,32767,32767,32767,32767
2016212000,32767,32767,32767,32767,32767,32767,32767
2016216000,32767,32767,32767,32767,32767,32767,32767
2016220000,32767,32767,32767,32767,32767,32767,32767
2016224000,32767,32767,32767,32767,32767,32767,32767
2016228000,32767,32767,32767,32767,32767,32767,32767
2016232000,32767,32767,32767,32767,0,0,32767
2016236000,32767,32767,32767,32767,32767,32767,32767
2016240000,32767,32767,32767,32767,32767,32767,32767
2016244000,32767,32767,32767,32767,32767,32767,32767
2016248000,32767,32767,32767,32767,32767,32767,32767
2016252000,32767,32767,32767,32767,32767,32767,32767
2016256000,32767,32767,32767,32767,32767,32767,32767
