timestamp,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2]
2015916000,0.0,0.6230826,0.0,0.0,0.78215605,0.0,0.0,-0.001
2015924000,0.0,0.62311393,0.0,0.0,0.7821311,0.0,0.0,-0.001
2015964000,0.0,0.62315017,0.0,0.0,0.78210235,0.0,0.0,-0.001
2016012000,0.0,0.62305063,0.0,0.0,0.7821815,0.0,0.0,-0.001
2016068000,0.0,0.62288755,0.0,0.0,0.7823114,0.0,0.0,-0.001
2016116000,0.0,0.622896,0.0,0.0,0.7823047,0.0,0.0,-0.001
2016164000,0.0,0.62284386,0.0,0.0,0.7823462,0.0,0.0,-0.001
2016212000,0.0,0.6228394,0.0,0.0,0.78234977,0.0,0.0,-0.001
2016268000,0.0,0.6227445,0.0,0.0,0.7824253,0.0,0.0,-0.001
2016316000,0.0,0.62281835,0.0,0.0,0.7823666,0.0,0.0,-0.001
2016372000,0.0,0.6229303,0.0,0.0,0.78227735,0.0,0.0,-0.001
2016412000,0.0,0.6229433,0.0,0.0,0.7822671,0.0,0.0,-0.001
2016468000,0.0,0.6228509,0.0,0.0,0.7823406,0.0,0.0,-0.001
2016516000,0.0,0.62291414,0.0,0.0,0.7822902,0.0,0.0,-0.001
2016572000,0.0,0.62286484,0.0,0.0,0.78232944,0.0,0.0,-0.001
2016620000,0.0,0.62295455,0.0,0.0,0.7822581,0.0,0.0,-0.001
2016668000,0.0,0.6229199,0.0,0.0,0.7822856,0.0,0.0,-0.001
2016716000,0.0,0.62305224,0.0,0.0,0.7821803,0.0,0.0,-0.001
2016764000,0.0,0.6231743,0.0,0.0,0.782083,0.0,0.0,-0.001
2016812000,0.0,0.62310463,0.0,0.0,0.78213847,0.0,0.0,-0.001
2016868000,0.0,0.6230803,0.0,0.0,0.78215796,0.0,0.0,-0.001
2016916000,0.0,0.6231355,0.0,0.0,0.7821139,0.0,0.0,-0.001
2016972000,0.0,0.62315035,-0.002346309,-0.00079631235,0.78209823,0.0,0.0,-0.013070267
2017020000,0.0,0.62315214,-0.0018099946,-4.6643963e-05,0.7820987,0.0,0.0,-0.01966543
2017068000,0.0,0.6231506,-0.0022278149,-0.0013860655,0.7820975,0.0,0.0,-0.026453443
2017116000,0.0,0.6231526,-0.0015125026,-0.001235732,0.7820979,0.0,0.0,-0.033979677
2017172000,0.0,0.62315,-0.0025015094,-0.0003005775,0.78209835,0.0,0.0,-0.042847313
2017220000,0.0,0.62314993,-0.0024147513,-0.0013410344,0.7820976,0.0,0.0,-0.05122111
2017268000,0.0,0.6231513,-0.0019851264,-0.0017243589,0.782097,0.0,0.0,-0.06019747
2017316000,0.0,0.6231516,-0.0018950362,-0.0018229035,0.7820967,0.0,0.0,-0.06944958
2017372000,0.0,0.6231514,-0.0019465346,-0.0018741861,0.78209656,0.0,0.0,-0.08048714
2017420000,0.0,0.6231514,-0.00194887,-0.0024387012,0.78209496,0.0,0.0,-0.09070558
2017468000,0.0,0.62315,-0.0023776907,-0.0019169537,0.7820963,0.0,0.0,-0.101236776
2017516000,0.0,0.623149,-0.002636651,-0.002119473,0.7820959,0.0,0.0,-0.11254488
2017572000,0.0,0.6231455,-0.0033835417,-0.0023087566,0.7820952,0.0,0.0,-0.12597173
2017612000,0.0,0.6231435,-0.0037463338,-0.0026914368,0.7820939,0.0,0.0,-0.13545783
2017668000,0.0,0.6231477,-0.0029223992,-0.002357133,0.7820952,0.0,0.0,-0.14930196
2017716000,0.0,0.62314826,-0.0027882499,-0.0025497018,0.7820946,0.0,0.0,-0.1620907
2017772000,0.0,0.623147,-0.0030852468,-0.002083107,0.7820959,0.0,0.0,-0.17724387
2017820000,0.0,0.6231502,-0.002307854,-0.0018292867,0.7820967,0.0,0.0,-0.19076756
2017868000,0.0,0.623146,-0.0032911622,-0.0022412247,0.78209543,0.0,0.0,-0.20534919
2017916000,0.0,0.6231442,-0.0036522804,-0.0019022016,0.78209615,0.0,0.0,-0.22003053
2017972000,0.0,0.6234773,-0.0032416675,-0.002533635,0.78183067,0.0,0.0,-0.23746677
2018020000,0.0,0.6234554,-0.0031056025,-0.0028122594,0.7818478,0.0,0.0,-0.25317663
2018068000,0.0,0.62350506,-0.002968345,-0.0029567706,0.78180814,0.0,0.0,-0.26916367
2018116000,0.0,0.62354815,-0.003486383,-0.0033123628,0.78177017,0.0,0.0,-0.28528842
2018172000,0.0,0.62356776,-0.0030164449,-0.0029534472,0.78175795,0.0,0.0,-0.30476782
2018212000,0.0,0.62361956,-0.0031469835,-0.0028139448,0.7817166,0.0,0.0,-0.31899548
2018268000,0.0,0.6237183,-0.0031580904,-0.0025857245,0.78163856,0.0,0.0,-0.3269686
2018316000,0.0,0.6236279,-0.003603875,-0.0029102857,0.78170764,0.0,0.0,-0.3309033
2018372000,0.0,0.6235496,-0.0035855402,-0.0030814996,0.78176963,0.0,0.0,-0.33681512
2018412000,0.0,0.6235419,-0.0034921903,-0.0035370514,0.7817742,0.0,0.0,-0.3412079
