timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
2015812000,0,1,1,1,1,1,1,0,0,0,1,1
2016812000,0,1,1,1,1,1,1,0,0,0,1,1
2017788000,0,1,0,0,1,1,1,0,0,0,1,0
2017828000,0,0,0,0,1,0,1,0,0,0,1,0
2018828000,0,0,0,0,1,0,0,0,0,0,1,0
2019828000,0,0,0,0,1,0,0,0,0,0,1,0
2019932000,0,0,0,0,0,0,0,0,0,0,1,0
2020932000,0,0,0,0,0,0,0,0,0,0,1,0
2021932000,0,0,0,0,0,0,0,1,0,0,1,0
2022932000,0,0,0,0,0,0,0,1,0,0,1,0
2023932000,0,0,0,0,0,0,0,1,0,0,1,0
2024932000,0,0,0,0,0,0,0,0,0,0,1,0
2025932000,0,0,0,0,0,0,0,0,0,0,1,0
2026932000,0,0,0,0,0,0,0,0,0,0,1,0
2027932000,0,0,0,0,0,0,0,0,0,0,1,0
2028932000,0,0,0,0,0,0,0,0,0,0,1,0
2029932000,0,0,0,0,0,0,0,0,0,1,1,0
2030932000,0,0,0,0,0,0,0,0,1,0,1,0
2031932000,0,0,0,0,0,0,0,0,1,0,1,0
2032932000,0,0,0,0,0,0,0,0,1,0,1,0
2033932000,0,0,0,0,0,0,0,0,1,0,1,0
2034932000,0,0,0,0,0,0,0,0,1,0,1,0
2035932000,0,0,0,0,0,0,0,0,1,0,1,0
2036932000,0,0,0,0,0,0,0,0,1,0,1,0
2037932000,0,0,0,0,0,0,0,0,1,0,1,0
2038932000,0,0,0,0,0,0,0,0,1,0,1,0
2039932000,0,0,0,0,0,0,0,0,1,0,1,0
2040932000,0,0,0,0,0,0,0,0,1,0,1,0
2041932000,0,0,0,0,0,0,0,0,1,0,1,0
2042932000,0,0,0,0,0,0,0,0,1,0,1,0
2043932000,0,0,0,0,0,0,0,0,1,0,1,0
2044932000,0,0,0,0,0,0,0,0,1,0,1,0
2045932000,0,0,0,0,0,0,0,0,1,0,1,0
2046932000,0,0,0,0,0,0,0,0,1,0,1,0
2047932000,0,0,0,0,0,0,0,0,1,0,1,0
2048932000,0,0,0,0,0,0,0,0,1,0,1,0
2049932000,0,0,0,0,0,0,0,0,1,0,1,0
2050932000,0,0,0,0,0,0,0,0,1,0,1,0
2051932000,0,0,0,0,0,0,0,0,1,0,1,0
2052932000,0,0,0,0,0,0,0,0,0,0,1,0
2053932000,0,0,0,0,0,0,0,0,0,0,1,0
2054932000,0,0,0,0,0,0,0,0,0,0,1,0
2055932000,0,0,0,0,0,0,0,0,0,0,1,0
2056932000,0,0,0,0,0,0,0,0,0,0,1,0
2057932000,0,0,0,0,0,0,0,0,0,0,1,0
2058932000,0,0,0,0,0,0,0,0,0,0,1,0
2059932000,0,0,0,0,0,0,0,0,0,0,1,0
2060708000,0,0,0,0,1,1,0,1,0,0,1,0
2061708000,0,0,0,0,1,1,0,1,0,0,1,0
2062708000,0,0,0,0,1,1,0,1,0,0,1,0
2063708000,0,0,0,0,1,1,0,1,0,0,1,0
2064708000,0,0,0,0,1,1,0,1,0,0,1,0
2065708000,0,0,0,0,1,1,0,1,0,0,1,0
2066708000,0,0,0,0,1,1,0,1,0,0,1,0
2067708000,0,0,0,0,1,1,0,1,0,0,1,0
2068708000,0,0,0,0,1,1,0,0,0,0,1,0
2069148000,0,1,0,0,1,1,1,0,0,0,1,0
2069500000,0,1,1,0,1,1,1,0,0,0,1,0
2069836000,0,1,1,1,1,1,1,0,0,0,1,0
2069916000,0,1,1,1,1,1,1,0,0,0,1,1
