timestamp,armed_time,takeoff_time,nav_state_timestamp,valid_nav_states_mask,can_set_nav_states_mask,failure_detector_status,arming_state,latest_arming_reason,latest_disarming_reason,nav_state_user_intention,nav_state,executor_in_charge,hil_state,vehicle_type,failsafe,failsafe_and_user_took_over,failsafe_defer_state,gcs_connection_lost,gcs_connection_lost_counter,high_latency_data_link_lost,is_vtol,is_vtol_tailsitter,in_transition_mode,in_transition_to_fw,system_type,system_id,component_id,safety_button_available,safety_off,power_input_valid,usb_connected,open_drone_id_system_present,open_drone_id_system_healthy,parachute_system_present,parachute_system_healthy,rc_calibration_in_progress,calibration_enabled,pre_flight_checks_pass
2043324000,2043324000,0,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2043828000,2043324000,0,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2044328000,2043324000,0,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2044832000,2043324000,0,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2045336000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2045840000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2046344000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2046852000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2047356000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2047864000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2048368000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2048876000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2049380000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2049884000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2050388000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
2050892000,2043324000,2045228000,2043324000,2147411071,8307839,0,2,4,6,17,17,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,1
