timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
2043328000,2043328000,0.0011528004,0.0004255789,0.00045097794,0.0019706425,nan,nan,nan,nan,nan,nan,nan,nan,0
2043332000,2043332000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
2043428000,2043428000,0.0,0.0019999996,0.0,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
2043528000,2043528000,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
2043628000,2043628000,1.6370905e-11,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
2043728000,2043728000,0.0,0.0019999999,0.0012019177,0.0007980822,nan,nan,nan,nan,nan,nan,nan,nan,0
2043828000,2043828000,0.0,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
2043928000,2043928000,0.0,0.0020000003,0.0,0.0020000003,nan,nan,nan,nan,nan,nan,nan,nan,0
2044028000,2044028000,0.00019305386,0.001806946,0.0,0.0019999996,nan,nan,nan,nan,nan,nan,nan,nan,0
2044128000,2044128000,0.0,0.0019999994,0.0,0.0019999994,nan,nan,nan,nan,nan,nan,nan,nan,0
2044228000,2044228000,2.3283064e-10,0.0019999999,0.0,0.0019999999,nan,nan,nan,nan,nan,nan,nan,nan,0
2044328000,2044328000,0.0,0.0019999996,0.0,0.002,nan,nan,nan,nan,nan,nan,nan,nan,0
2044428000,2044428000,0.0060015954,0.019925052,0.0051533813,0.02048337,nan,nan,nan,nan,nan,nan,nan,nan,0
2044528000,2044528000,0.024031227,0.034716383,0.017743906,0.03649543,nan,nan,nan,nan,nan,nan,nan,nan,0
2044628000,2044628000,0.038920455,0.050732873,0.03591358,0.051731892,nan,nan,nan,nan,nan,nan,nan,nan,0
2044728000,2044728000,0.061726958,0.06650822,0.055235155,0.07240945,nan,nan,nan,nan,nan,nan,nan,nan,0
2044828000,2044828000,0.081251904,0.082953796,0.07181477,0.0936747,nan,nan,nan,nan,nan,nan,nan,nan,0
2044928000,2044928000,0.10551432,0.103690796,0.09805031,0.11244588,nan,nan,nan,nan,nan,nan,nan,nan,0
2045028000,2045028000,0.12399748,0.12951629,0.11557088,0.14078659,nan,nan,nan,nan,nan,nan,nan,nan,0
2045128000,2045128000,0.1473576,0.16227329,0.14657554,0.16024412,nan,nan,nan,nan,nan,nan,nan,nan,0
2045228000,2045228000,0.17799377,0.1817289,0.17626679,0.18509644,nan,nan,nan,nan,nan,nan,nan,nan,0
2045328000,2045328000,0.20640613,0.21636508,0.2013735,0.22150315,nan,nan,nan,nan,nan,nan,nan,nan,0
2045428000,2045428000,0.23686191,0.24442463,0.23045759,0.2537159,nan,nan,nan,nan,nan,nan,nan,nan,0
2045528000,2045528000,0.2692775,0.28301114,0.26377907,0.2886047,nan,nan,nan,nan,nan,nan,nan,nan,0
2045628000,2045628000,0.30218568,0.3174874,0.2939598,0.3261094,nan,nan,nan,nan,nan,nan,nan,nan,0
2045728000,2045728000,0.30687287,0.3324757,0.30580142,0.33304647,nan,nan,nan,nan,nan,nan,nan,nan,0
2045828000,2045828000,0.3190225,0.34137723,0.31260887,0.34788513,nan,nan,nan,nan,nan,nan,nan,nan,0
2045928000,2045928000,0.32772714,0.35433993,0.3256174,0.3544327,nan,nan,nan,nan,nan,nan,nan,nan,0
2046028000,2046028000,0.33996758,0.36412066,0.33683664,0.3676403,nan,nan,nan,nan,nan,nan,nan,nan,0
2046128000,2046128000,0.35050914,0.3760983,0.3431144,0.3829976,nan,nan,nan,nan,nan,nan,nan,nan,0
2046228000,2046228000,0.36650378,0.38454625,0.3531018,0.39867467,nan,nan,nan,nan,nan,nan,nan,nan,0
2046328000,2046328000,0.37356496,0.40227586,0.36344787,0.41328582,nan,nan,nan,nan,nan,nan,nan,nan,0
2046428000,2046428000,0.3875684,0.4179638,0.37752494,0.4266527,nan,nan,nan,nan,nan,nan,nan,nan,0
2046528000,2046528000,0.40053168,0.4300109,0.3899806,0.44156578,nan,nan,nan,nan,nan,nan,nan,nan,0
2046628000,2046628000,0.41283697,0.44931826,0.40432593,0.45701838,nan,nan,nan,nan,nan,nan,nan,nan,0
2046728000,2046728000,0.4318085,0.459438,0.41967148,0.4702609,nan,nan,nan,nan,nan,nan,nan,nan,0
2046828000,2046828000,0.44631192,0.4799642,0.4332743,0.48815328,nan,nan,nan,nan,nan,nan,nan,nan,0
2046928000,2046928000,0.45534724,0.5003682,0.441727,0.50912386,nan,nan,nan,nan,nan,nan,nan,nan,0
2047028000,2047028000,0.47310218,0.5140291,0.46461043,0.5225951,nan,nan,nan,nan,nan,nan,nan,nan,0
2047128000,2047128000,0.48479792,0.5344023,0.4751655,0.54356885,nan,nan,nan,nan,nan,nan,nan,nan,0
2047228000,2047228000,0.50413257,0.5512708,0.49490124,0.5614546,nan,nan,nan,nan,nan,nan,nan,nan,0
2047328000,2047328000,0.5184118,0.5705763,0.5102856,0.57821226,nan,nan,nan,nan,nan,nan,nan,nan,0
2047428000,2047428000,0.56214625,0.61626375,0.55647606,0.6213802,nan,nan,nan,nan,nan,nan,nan,nan,0
2047528000,2047528000,0.57844913,0.6334942,0.56945884,0.6400575,nan,nan,nan,nan,nan,nan,nan,nan,0
2047628000,2047628000,0.5931822,0.65918994,0.5852666,0.66473806,nan,nan,nan,nan,nan,nan,nan,nan,0
2047728000,2047728000,0.61502165,0.67404616,0.601159,0.68653446,nan,nan,nan,nan,nan,nan,nan,nan,0
2047828000,2047828000,0.63633066,0.69598526,0.62573165,0.7066596,nan,nan,nan,nan,nan,nan,nan,nan,0
2047928000,2047928000,0.6544901,0.71632886,0.6449814,0.7259418,nan,nan,nan,nan,nan,nan,nan,nan,0
