timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
3732000,3695000,0,0,0.011412704,-0.21963505,0.42796984,0.0025000002,0.0025000002,0.0025000002,-0.011412704,0.21963505,-0.42796984,-0.011412704,0.21963505,-0.42796984,0.0075000003,0.0075000003,0.0075000003,0.001929627,0.7146601,2.7134545,0.001929627,0.7146601,2.7134545,0,1,0
3924000,3767636,0,0,0.0086238505,-0.21515355,0.42756042,0.0025000002,0.0025000002,0.0025000002,-0.0086238505,0.21515355,-0.42756042,-0.011058953,0.21906659,-0.4279179,0.0075000003,0.0075000003,0.0075,0.0011017896,0.6857933,2.7082655,0.001545107,0.7109985,2.0257366,0,1,0
3996000,3840000,0,0,0.009248013,-0.22092049,0.43330473,0.0025000002,0.0025000002,0.0025000002,-0.009248013,0.22092049,-0.43330473,-0.010829995,0.21930099,-0.42859894,0.0075,0.007500001,0.0075000008,0.0012670481,0.7230497,2.7815254,0.0011895661,0.7125221,1.4179542,0,1,0
4068000,3912000,0,0,0.010345868,-0.21631296,0.42856708,0.0025000002,0.0025000002,0.0025000002,-0.010345868,0.21631296,-0.42856708,-0.010769056,0.21892487,-0.42859492,0.0075000008,0.0075000008,0.0075000003,0.0015857328,0.6932043,2.721033,0.0008402278,0.71009046,0.8969628,0,1,0
4140000,3984000,0,0,0.0103404755,-0.21164812,0.4254954,0.0025000002,0.0025000002,0.0025000002,-0.0103404755,0.21164812,-0.4254954,-0.010715109,0.2180089,-0.42820477,0.0075000003,0.007500001,0.0075000003,0.0015840805,0.66362846,2.6821675,0.00053507014,0.7042421,0.44644293,0,1,0
4212000,4056000,0,0,0.009229738,-0.21536554,0.4275707,0.0025000002,0.0025000002,0.0025000002,-0.009229738,0.21536554,-0.4275707,-0.01052814,0.21767618,-0.42812496,0.0075000008,0.0075000003,0.007500001,0.0012620452,0.6871455,2.7083952,0.0003088598,0.7020901,0.049330473,0,1,0
4284000,4128000,0,0,0.010376677,-0.21692343,0.43042585,0.0025000002,0.0025000002,0.0025000002,-0.010376677,0.21692343,-0.43042585,-0.010509075,0.21758142,-0.42841458,0.0075000003,0.0075000003,0.0075000003,0.0015951914,0.6971225,2.7446876,6.918903e-05,0.7014648,-0.30236408,0,1,0
4356000,4199636,0,0,0.009518652,-0.21636316,0.4311543,0.0025000002,0.0025000002,0.0025000002,-0.009518652,0.21636316,-0.4311543,-0.010384957,0.21742876,-0.4287579,0.007500001,0.0075000008,0.0075000008,0.0013422923,0.6935261,2.7539854,-0.00010769427,0.7004699,-0.6095951,0,1,0
4428000,4272000,0,0,0.013743796,-0.22416094,0.4274299,0.0025000002,0.0025000002,0.0025000002,-0.013743796,0.22416094,-0.4274299,-0.010809615,0.21827991,-0.42859,0.0075000003,0.0075,0.0075000003,0.002798399,0.7444168,2.706612,-0.00044788021,0.70602614,-0.87472105,0,1,0
4500000,4343636,0,0,0.011357859,-0.21712725,0.42922363,0.0025000002,0.0025000002,0.0025000002,-0.011357859,0.21712725,-0.42922363,-0.01087832,0.21813546,-0.4286694,0.007500001,0.0075000008,0.0075000008,0.0019111249,0.6984331,2.729376,-0.0006312504,0.7050746,-1.1071417,0,1,0
