timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
3732000,3732000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4508000,4356000,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4860000,4708000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5124000,4972000,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40060000,5908000,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
