timestamp,timestamp_sample,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
4720000,0,47.3977508,8.5456073,488.101,488.101,1757596731490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.6543976,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5520000,0,47.3977508,8.5456074,488.101,488.101,1757596732286401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.03,5.8252106,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
6720000,0,47.3977508,8.5456074,488.096,488.096,1757596733490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,2.1193533,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
7520000,0,47.3977508,8.5456074,488.10900000000004,488.10900000000004,1757596734286401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.02,1.362404,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
8720000,0,47.397750699999996,8.5456074,488.105,488.105,1757596735486401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,4.082674,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
9520000,0,47.3977508,8.5456074,488.106,488.106,1757596736290401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,5.9728656,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
10720000,0,47.3977508,8.5456075,488.092,488.092,1757596737486401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.01,0.0,2.3263493,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
11520000,0,47.3977508,8.5456074,488.09700000000004,488.09700000000004,1757596738290401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.02,0.01,5.4747486,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
12520000,0,47.397750699999996,8.5456073,488.115,488.115,1757596739290401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.01,3.3574898,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
13720000,0,47.3977508,8.5456074,488.101,488.101,1757596740486401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.3752184,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
14524000,0,47.3977508,8.5456073,488.1,488.1,1757596741290401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.01,-0.01,5.5970964,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
15524000,0,47.3977508,8.5456074,488.108,488.108,1757596742290401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,-0.02,0.1940806,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
16724000,0,47.3977508,8.5456073,488.104,488.104,1757596743490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.01,1.0936233,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
17524000,0,47.3977508,8.5456074,488.10200000000003,488.10200000000003,1757596744294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,3.3201396,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
18724000,0,47.3977508,8.5456074,488.103,488.103,1757596745490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.5236452,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
19524000,0,47.3977508,8.5456074,488.1,488.1,1757596746294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.9385834,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
20524000,0,47.3977508,8.5456074,488.105,488.105,1757596747294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.04,4.9623203,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
21724000,0,47.3977508,8.5456075,488.108,488.108,1757596748490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.7313665,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
22524000,0,47.3977508,8.5456075,488.103,488.103,1757596749294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.01,6.0849156,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
23724000,0,47.3977499,8.5456085,488.47700000000003,488.47700000000003,1757596750490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.17999999,-0.14999999,0.099999994,-0.71,2.547308,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
24524000,0,47.3977491,8.5456089,489.113,489.113,1757596751294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.049999997,-0.049999997,-0.01,-0.78,3.326423,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
25724000,0,47.3977492,8.5456079,490.02,490.02,1757596752490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.08,0.04,-0.07,-0.71,5.246634,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
26724000,0,47.3977496,8.545607,490.588,490.588,1757596753490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.06,0.07,-0.049999997,-0.26,5.586624,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
27524000,0,47.397749999999995,8.5456067,490.76,490.76,1757596754294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.04,0.06,-0.02,-0.16,5.9527946,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
28724000,0,47.3977505,8.5456071,490.943,490.943,1757596755490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.37,0.32,0.14999999,-0.16,0.43842667,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
29524000,0,47.39776,8.545609899999999,491.036,491.036,1757596756294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.46,2.45,0.29999998,-0.02,0.12391838,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
30724000,0,47.397801799999996,8.5456155,491.014,491.014,1757596757490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.8599997,4.83,0.59999996,0.08,0.1251401,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
31524000,0,47.397836299999994,8.545625099999999,490.973,490.973,1757596758294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.66,4.5099998,1.0699999,0.03,0.23335052,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
32724000,0,47.3978842,8.5456439,490.958,490.958,1757596759490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.6,4.44,1.17,0.02,0.2576106,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
33524000,0,47.3979169,8.5456556,490.95,490.95,1757596760294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.68,4.56,0.96999997,0.0,0.20978856,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
34724000,0,47.397967,8.5456696,490.97,490.97,1757596761490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.73,4.67,0.82,0.0,0.17418385,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
35524000,0,47.3980009,8.5456782,490.95,490.95,1757596762294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.77,4.7,0.78999996,0.06,0.16720253,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
36724000,0,47.398052,8.5456913,490.954,490.954,1757596763490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.83,4.7799997,0.88,-0.01,0.18256144,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
37524000,0,47.3980867,8.545700799999999,490.938,490.938,1757596764294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.9,4.79,0.90999997,0.03,0.1891937,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
38724000,0,47.398139,8.5457158,490.923,490.923,1757596765490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.96,4.87,0.95,0.0,0.19250982,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
39528000,0,47.3981743,8.5457258,490.91,490.91,1757596766294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.97,4.89,0.93,0.06,0.18832102,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
40724000,0,47.398225,8.5457434,490.886,490.886,1757596767490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.25,3.85,1.75,-0.01,0.42655843,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
41724000,0,47.398244999999996,8.545778,490.88100000000003,490.88100000000003,1757596768490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,3.4099998,0.57,3.3799999,0.04,1.4035938,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
42524000,0,47.3982402,8.545818299999999,490.868,490.868,1757596769294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.4,-1.7199999,4.06,0.06,1.972571,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
43724000,0,47.3982137,8.545881399999999,490.795,490.795,1757596770490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.61,-2.47,3.85,-0.01,2.1423917,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
44528000,0,47.398197599999996,8.5459242,490.807,490.807,1757596771294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.54,-2.0,4.0699997,-0.03,2.027549,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
45724000,0,47.3981773,8.5459908,490.856,490.856,1757596772490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.5699997,-1.81,4.19,0.03,1.977807,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
46524000,0,47.3981649,8.5460308,490.88100000000003,490.88100000000003,1757596773294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,3.53,-1.53,3.1799998,-0.049999997,2.0203931,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
47724000,0,47.3981517,8.5460694,490.884,490.884,1757596774490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.9499999,-0.89,1.6999999,0.0,2.0549507,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
48524000,0,47.3981462,8.5460839,490.867,490.867,1757596775294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.1899999,-0.59999996,1.04,0.049999997,2.0950933,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
49724000,0,47.398139799999996,8.5460899,490.86400000000003,490.86400000000003,1757596776490401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,1.0,-0.74,-0.66999996,0.049999997,3.8749797,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
50732000,0,47.398128899999996,8.546073,490.89,490.89,1757596777494401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,2.74,-2.07,-1.8199999,-0.03,3.8643332,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
51728000,0,47.398100299999996,8.5460425,490.879,490.879,1757596778494401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.7599998,-3.9499998,-2.6399999,0.08,3.7316885,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
52524000,0,47.3980715,8.5460157,490.862,490.862,1757596779294401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.5499997,-3.8899999,-2.33,-0.02,3.682121,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
53728000,0,47.3980296,8.5459784,490.86400000000003,490.86400000000003,1757596780494401,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,4.54,-3.84,-2.44,0.01,3.7077775,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
