timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
4776000,4776000,0.999987,0.0029600014,0.004160732,-1.4882084e-05,1.0,0.0,0.0,0.0,0
4780000,4780000,0.99998736,0.0029322547,0.0040959143,-2.6554222e-05,1.0,0.0,0.0,0.0,0
4784000,4784000,0.9999878,0.0028877254,0.004017994,-2.4582523e-05,1.0,0.0,0.0,0.0,0
4788000,4788000,0.9999883,0.002831476,0.0039310204,-2.3122513e-05,1.0,0.0,0.0,0.0,0
4792000,4792000,0.99998873,0.0027939999,0.0038517818,-2.8887873e-05,1.0,0.0,0.0,0.0,0
4800000,4800000,0.9999894,0.002766134,0.003705778,-2.8563134e-05,1.0,0.0,0.0,0.0,0
4808000,4808000,0.99999005,0.0027413825,0.0035479318,3.719179e-06,1.0,0.0,0.0,0.0,0
4812000,4812000,0.99999017,0.0027489602,0.003474533,-9.078295e-06,1.0,0.0,0.0,0.0,0
4816000,4816000,0.9999906,0.0027326664,0.003404117,-4.4933335e-05,1.0,0.0,0.0,0.0,0
4820000,4820000,0.9999908,0.002696198,0.003337909,-6.153323e-05,1.0,0.0,0.0,0.0,0
4824000,4824000,0.9999912,0.0026583395,0.0032660817,-7.2526534e-05,1.0,0.0,0.0,0.0,0
4828000,4828000,0.99999154,0.0026226148,0.0031883924,-8.24771e-05,1.0,0.0,0.0,0.0,0
4832000,4832000,0.9999919,0.0025967015,0.0031013284,-7.8343364e-05,1.0,0.0,0.0,0.0,0
4840000,4840000,0.99999243,0.0025445225,0.002954553,-6.5469685e-05,1.0,0.0,0.0,0.0,0
4844000,4844000,0.99999267,0.002512404,0.0028959021,-5.457914e-05,1.0,0.0,0.0,0.0,0
4848000,4848000,0.9999929,0.0024926858,0.0028321452,-4.824518e-05,1.0,0.0,0.0,0.0,0
4852000,4852000,0.9999931,0.0024873014,0.0027599065,-5.8484686e-05,1.0,0.0,0.0,0.0,0
4860000,4860000,0.9999937,0.0024454677,0.0025828118,-6.879912e-05,1.0,0.0,0.0,0.0,0
