timestamp,param5,param6,param1,param2,param3,param4,param7,command,source_component,target_system,target_component,source_system,confirmation,from_external
3772000,5.21337230527605e-310,6.21377396417717e-310,-4.6775717e-10,1.0,-4.677405e-10,4.1033e-41,2.160031,211,1145,0,0,0,0,0
5068000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,521,190,1,1,255,0,1
6192000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401,190,1,1,255,0,1
17888000,nan,nan,-1.0,0.0,0.0,nan,491.1177,22,190,1,1,255,0,1
17908000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,190,1,1,255,0,1
27964000,47.3984479,8.5458005,-1.0,1.0,0.0,nan,490.80536,192,190,1,1,255,0,1
39700000,47.3981357,8.546100899999999,-1.0,1.0,0.0,nan,490.9019,192,190,1,1,255,0,1
48560000,47.397910499999995,8.5458541,-1.0,1.0,0.0,nan,490.8863,192,190,1,1,255,0,1
59008000,0.0,0.0,157.0,4.0,6.0,0.0,0.0,176,190,1,0,255,1,1
59028000,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
59028000,2.0,0.0,nan,nan,nan,nan,0.0,1000,1,1,0,1,0,0
59028000,0.0,0.0,-3.0,-3.0,-1.0,-1.0,0.0,1001,1,1,0,1,0,0
59636000,0.0,0.0,157.0,4.0,6.0,0.0,0.0,176,190,1,0,255,1,1
