timestamp,command,result_param2,target_component,result,result_param1,target_system,from_external
4184000,211,0,121,5,255,0,0
4856000,512,0,190,0,0,255,0
5104000,512,0,190,0,0,255,0
5272000,211,0,121,0,0,0,0
5384000,512,0,190,0,0,255,0
5440000,512,0,190,0,0,255,0
5452000,512,0,190,0,0,255,0
5476000,512,0,190,0,0,255,0
5488000,512,0,190,0,0,255,0
5492000,512,0,190,0,0,255,0
5504000,512,0,190,0,0,255,0
5508000,512,0,190,0,0,255,0
5516000,512,0,190,0,0,255,0
5524000,512,0,190,0,0,255,0
5528000,512,0,190,0,0,255,0
5540000,512,0,190,0,0,255,0
5540000,512,0,190,0,0,255,0
5540000,512,0,190,0,0,255,0
5540000,512,0,190,0,0,255,0
5544000,512,0,190,0,0,255,0
5556000,512,0,190,0,0,255,0
5556000,512,0,190,0,0,255,0
5556000,512,0,190,0,0,255,0
5556000,512,0,190,0,0,255,0
5576000,512,0,190,0,0,255,0
6204000,401,0,190,0,0,255,0
6788000,512,0,190,2,0,255,0
7784000,512,0,190,2,0,255,0
8780000,512,0,190,2,0,255,0
9776000,512,0,190,2,0,255,0
10776000,512,0,190,2,0,255,0
11776000,512,0,190,2,0,255,0
17900000,22,0,190,0,0,255,0
17912000,400,0,190,0,0,255,0
27976000,192,0,190,0,0,255,0
39704000,192,0,190,0,0,255,0
48568000,192,0,190,0,0,255,0
59016000,176,0,190,0,0,255,0
59640000,176,0,190,0,0,255,0
