timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
3828000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
4332000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
4740000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
5076000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
5580000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
6084000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
6204000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
6708000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
7116000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
7616000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
8124000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
8632000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
9136000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
9544000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
10048000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
10552000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
11056000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
11564000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
12068000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
12568000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
13072000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
13576000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
14080000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
14584000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
15088000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
15592000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
16092000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
16600000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
17104000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
17608000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
17900000,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0
17912000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
18416000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
18920000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
19424000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
19928000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
20432000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
20936000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
21444000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
21952000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
22456000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
22960000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
23468000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
23972000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
24476000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
24984000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
25492000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
25996000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
26152000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
26656000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
27156000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
27664000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
27976000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
28480000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
28980000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
29488000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
29992000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
30500000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
31008000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
31512000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
32020000,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0
