timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
4260000,4260000,1310988,1310988,8.522073e-06,-5.326333e-06,-1.4913726e-05,-0.00012928691,6.703835e-05,-0.039068587,4000,4000,0,0,0,1
4760000,4760000,1310988,1310988,2.556637e-05,7.575611e-11,-3.3023192e-05,-0.00014844054,-0.00045968607,-0.039082948,4000,4000,0,0,0,1
5260000,5260000,1310988,1310988,-1.3848333e-05,-1.0652466e-06,4.90022e-05,-0.0003256114,-0.00013407464,-0.039039854,4000,4000,0,0,0,1
5760000,5760000,1310988,1310988,-4.900211e-05,1.3848592e-05,1.7044278e-05,-3.8307233e-05,6.8312905e-10,-0.039140414,4000,4000,0,0,0,1
6260000,6260000,1310988,1310988,-1.5978956e-05,4.261065e-06,-9.587399e-06,9.576808e-06,-0.0002202659,-0.03916914,4000,4000,0,0,0,1
6760000,6760000,1310988,1310988,4.687169e-05,2.1303908e-06,2.5566273e-05,-0.00062249246,-0.00014365141,-0.039375048,4000,4000,0,0,0,1
7260000,7260000,1310988,1310988,-1.0652522e-05,-1.2424492e-10,4.7936937e-05,0.00012928691,-0.00041180206,-0.039169136,4000,4000,0,0,0,1
7760000,7760000,1310988,1310988,2.7696942e-05,-6.3916477e-06,-4.048e-05,0.00012928691,0.000119710785,-0.039121255,4000,4000,0,0,0,1
8260000,8260000,1310988,1310988,-3.1958277e-06,1.0652639e-05,-1.1717909e-05,-6.224924e-05,0.0004788411,-0.039207447,4000,4000,0,0,0,1
8760000,8760000,1310988,1310988,-1.2783182e-05,2.0240019e-05,1.0652891e-06,-0.00017238254,-0.000114921,-0.039135627,4000,4000,0,0,0,1
9260000,9260000,1310988,1310988,2.130538e-05,-4.793687e-05,-1.4913691e-05,-0.00030166947,2.8731112e-05,-0.039667144,4000,4000,0,0,0,1
9760000,9760000,1310988,1310988,1.9174528e-05,-5.5393906e-05,5.219788e-05,-0.000114921684,-0.0003447644,-0.038939293,4000,4000,0,0,0,1
10260000,10260000,1310988,1310988,2.7696906e-05,-1.3848422e-05,2.6631595e-05,5.746084e-05,8.1403545e-05,-0.039221816,4000,4000,0,0,0,1
10760000,10760000,1310988,1310988,-1.8109436e-05,3.3023232e-05,5.326328e-06,0.0001388637,-2.872974e-05,-0.039193086,4000,4000,0,0,0,1
11260000,11260000,1310988,1310988,3.195927e-06,5.965482e-05,3.8349503e-05,-8.140285e-05,-0.0004788397,-0.039001547,4000,4000,0,0,0,1
11760000,11760000,1310988,1310988,3.1957557e-06,2.9827404e-05,-8.522143e-06,0.00015322893,0.00014844122,-0.03930322,4000,4000,0,0,0,1
12260000,12260000,1310988,1310988,-3.8349557e-05,-2.2370481e-05,6.391658e-06,-0.00042137952,0.00021069044,-0.03931758,4000,4000,0,0,0,1
12760000,12760000,1310988,1310988,1.171789e-05,-5.326353e-06,5.326339e-06,-0.00022984337,6.7038345e-05,-0.03925534,4000,4000,0,0,0,1
13260000,13260000,1310988,1310988,-3.834952e-05,1.0712435e-10,1.0653268e-06,-0.00024899698,-0.0006607991,-0.03887705,4000,4000,0,0,0,1
13760000,13760000,1310988,1310988,-1.0652722e-06,1.9174722e-05,1.4913754e-05,5.267244e-05,-9.0978996e-05,-0.0391452,4000,4000,0,0,0,1
14260000,14260000,1310988,1310988,-2.3435881e-05,4.2610583e-05,3.834948e-05,-8.619127e-05,-0.00014843987,-0.039389405,4000,4000,0,0,0,1
14760000,14760000,1310988,1310988,-7.563375e-05,-7.4568293e-06,-2.5566489e-05,2.8730423e-05,9.0980364e-05,-0.03918351,4000,4000,0,0,0,1
15260000,15260000,1310988,1310988,-6.0720053e-05,2.9827408e-05,1.0652808e-05,-0.00011013329,0.00023942089,-0.039135627,4000,4000,0,0,0,1
15760000,15760000,1310988,1310988,4.687165e-05,-1.3848486e-05,-6.3914235e-06,0.00040222594,-0.0002489963,-0.03923139,4000,4000,0,0,0,1
16260000,16260000,1310988,1310988,6.3918233e-06,2.556649e-05,6.924212e-05,-0.00011492169,0.00047405268,-0.03904943,4000,4000,0,0,0,1
16760000,16760000,1310988,1310988,-8.522046e-06,-9.587234e-06,-4.4741155e-05,0.00012928691,-0.00027772674,-0.039288856,4000,4000,0,0,0,1
17260000,17260000,1310988,1310988,2.1305848e-06,2.5566293e-05,-3.7284295e-05,0.00025378537,-0.00017238186,-0.039394196,4000,4000,0,0,0,1
17760000,17760000,1310988,1310988,3.1958762e-06,-6.3915663e-06,-3.8349517e-05,4.788404e-06,4.7890944e-06,-0.039547425,4000,4000,0,0,0,1
18260000,18260000,1310988,1310988,1.0652714e-05,-1.4913772e-05,5.432846e-05,-0.00019632454,0.00016759483,-0.039106894,4000,4000,0,0,0,1
18760000,18760000,1310988,1310988,-1.9174688e-05,4.2610678e-05,-4.261052e-05,8.140285e-05,-0.00017717025,-0.039006334,4000,4000,0,0,0,1
19260000,19260000,1310988,1310988,2.0240032e-05,2.7696855e-05,9.587426e-06,-8.619127e-05,0.00014844122,-0.039279275,4000,4000,0,0,0,1
19760000,19760000,1310988,1310988,-3.728431e-05,-1.2782928e-05,-3.5153767e-05,-4.3095635e-05,-1.915293e-05,-0.03928406,4000,4000,0,0,0,1
20260000,20260000,1310988,1310988,-4.2610558e-05,3.7284288e-05,7.724895e-11,0.0004884172,0.0001292876,-0.039432503,4000,4000,0,0,0,1
20760000,20760000,1310988,1310988,-4.261105e-06,3.089266e-05,-6.391605e-06,-0.00022984338,-0.00028251513,-0.03895367,4000,4000,0,0,0,1
21260000,21260000,1310988,1310988,7.6698954e-05,4.261079e-05,2.8762057e-05,0.00041180276,-0.0003303992,-0.03938941,4000,4000,0,0,0,1
21760000,21760000,1310988,1310988,-2.4501245e-05,5.113266e-05,2.4500998e-05,-0.00034955345,0.00010055717,-0.039442085,4000,4000,0,0,0,1
22260000,22260000,1310988,1310988,-2.1305555e-06,-8.522105e-06,4.4741115e-05,-0.00010534487,-4.309495e-05,-0.039245754,4000,4000,0,0,0,1
22760000,22760000,1310988,1310988,0.00065300387,-0.00067538104,7.563351e-05,-0.00052672444,-1.91529e-05,-0.04126168,4000,4000,0,0,0,1
23260000,23260000,1310988,1310988,-0.00021305242,0.00036432076,1.7044329e-05,1.915362e-05,-0.0006368569,-0.04314352,4000,4000,0,0,0,1
23760000,23760000,1310988,1310988,-9.693908e-05,6.3915904e-05,2.2370396e-05,-3.3518827e-05,-0.00013407464,-0.039442085,4000,4000,0,0,0,1
24260000,24260000,1310988,1310988,-1.8109453e-05,-7.5633776e-05,1.2783341e-05,-4.788404e-06,0.00011013398,-0.039442085,4000,4000,0,0,0,1
24760000,24760000,1310988,1310988,5.1132978e-05,-8.8416775e-05,-7.456855e-05,0.00030166947,-4.7883364e-05,-0.038709454,4000,4000,0,0,0,1
25260000,25260000,1310988,1310988,2.8762106e-05,2.6631622e-05,1.49137695e-05,-9.57681e-06,0.00016759483,-0.038709454,4000,4000,0,0,0,1
25760000,25760000,1310988,1310988,3.3023276e-05,-1.597871e-05,7.456854e-05,0.00049320556,5.267311e-05,-0.038503557,4000,4000,0,0,0,1
26260000,26260000,1310988,1310988,1.1717961e-05,-4.154529e-05,4.4741126e-05,0.00034476508,3.83079e-05,-0.038154006,4000,4000,0,0,0,1
26760000,26760000,1310988,1310988,9.587411e-06,9.587368e-06,-2.1305283e-05,0.00026336222,-5.746016e-05,-0.03891536,4000,4000,0,0,0,1
27260000,27260000,1310988,1310988,4.900216e-05,-6.391495e-06,-1.0652749e-05,-0.000272939,0.0002585745,-0.03945645,4000,4000,0,0,0,1
27760000,27760000,1310988,1310988,5.8589416e-05,-5.6459176e-05,-1.4913673e-05,-0.00017238254,0.00022026726,-0.038699877,4000,4000,0,0,0,1
28260000,28260000,1310988,1310988,-0.0012133332,-0.0005038759,-0.00016405607,0.00010534488,-9.576738e-05,-0.039609674,4000,4000,0,0,0,1
28760000,28760000,1310988,1310988,-0.001840775,8.095844e-05,-0.0012378407,-0.0008571242,0.0009912002,-0.040098097,4000,4000,0,0,0,1
29260000,29260000,1310988,1310988,-0.00019919519,-2.4500727e-05,-0.0019995025,-0.0010055647,0.0026623535,-0.039590526,4000,4000,0,0,0,1
29760000,29760000,1310988,1310988,-1.5981832e-05,8.526148e-06,-0.0026674224,-0.002901773,0.0036391874,-0.04018428,4000,4000,0,0,0,1
30260000,30260000,1310988,1310988,0.001220782,0.00035579072,-0.0026450579,-0.0052337255,0.0032225966,-0.03929843,4000,4000,0,0,0,1
30760000,30760000,1310988,1310988,0.0005827047,0.001201615,-0.0014956322,-0.0065361713,0.002044649,-0.03866157,4000,4000,0,0,0,1
31260000,31260000,1310988,1310988,-0.00019600557,-0.00031318597,-0.0010535478,-0.0069862814,0.00020590205,-0.03878607,4000,4000,0,0,0,1
31760000,31760000,1310988,1310988,-0.00021518489,-0.00015446193,-0.00022370515,-0.006847417,-0.00052672374,-0.038628053,4000,4000,0,0,0,1
