timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_filtered,innovation_variance,test_ratio,test_ratio_filtered,estimator_instance,innovation_rejected,fused
625256000,625104000,625104000,0,-488.09763,12.369782,0.03137207,0.024398593,12.449396,3.1622637e-06,3.9218025e-06,0,0,1
625328000,625176000,625176000,0,-488.03632,12.369847,-0.029327393,0.017635882,12.450907,2.7631593e-06,3.080339e-06,0,0,1
625400000,625248000,625248000,0,-488.1258,12.36991,0.061157227,0.023114093,12.452437,1.2014375e-05,4.204903e-06,0,0,1
625472000,625320000,625320000,0,-488.04538,12.369972,-0.018981934,0.017815292,12.453988,1.157264e-06,3.5299447e-06,0,0,1
625544000,625392000,625392000,0,-488.13477,12.370033,0.07107544,0.024519365,12.45556,1.6223174e-05,5.127694e-06,0,0,1
625616000,625464000,625464000,0,-488.08243,12.370093,0.016082764,0.023457415,12.456082,8.306152e-07,4.586803e-06,0,0,1
625688000,625534666,625536000,0,-488.09167,12.370152,0.022766113,0.02337181,12.450769,1.665105e-06,4.2250067e-06,0,0,1
625752000,625596000,625600000,0,-488.09146,12.370074,0.023132324,0.023345644,12.451927,1.7189449e-06,3.9511824e-06,0,0,1
625808000,625653333,625656000,0,-488.1053,12.369863,0.03744507,0.024796056,12.452741,4.503854e-06,4.008036e-06,0,0,1
625880000,625725333,625728000,0,-488.08148,12.3699255,0.014404297,0.023488002,12.454296,6.663846e-07,3.5874084e-06,0,0,1
625944000,625786000,625792000,0,-488.13297,12.369853,0.06655884,0.028148483,12.4555025,1.4226897e-05,4.7386548e-06,0,0,1
626000000,625845333,625848000,0,-488.0854,12.369646,0.019073486,0.027185826,12.456351,1.1682325e-06,4.359911e-06,0,0,1
626064000,625908000,625912000,0,-488.0899,12.369578,0.018981934,0.026272118,12.449648,1.1576674e-06,4.0032614e-06,0,0,1
626120000,625968000,625968000,0,-488.05215,12.369376,-0.018463135,0.021479055,12.450454,1.0951804e-06,3.4569998e-06,0,0,1
626192000,626040000,626040000,0,-488.05234,12.369449,-0.017700195,0.016547402,12.451992,1.0064153e-06,2.8951713e-06,0,0,1
