timestamp,timestamp_sample,time_last_fuse,observation[0],observation[1],device_id,observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_filtered[0],innovation_filtered[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],test_ratio_filtered[0],test_ratio_filtered[1],estimator_instance,innovation_rejected,fused
625216000,625062000,625064000,47.398146499999996,8.5457545,0,1.0,1.0,0.029674534,-0.0027903349,0.0284003,-0.007484505,1.1222415,1.1227769,3.1386397e-05,2.7738258e-07,2.9577344e-05,-3.9913316e-06,0,0,1
625616000,625462000,625464000,47.398146499999996,8.5457546,0,1.0,1.0,0.029409088,-0.009863774,0.02884865,-0.008541958,1.1228654,1.1233994,3.081026e-05,3.4642726e-06,3.0125308e-05,-3.757083e-06,0,0,1
626016000,625858000,625864000,47.398146499999996,8.5457546,0,1.0,1.0,0.032319132,-0.011967225,0.030382479,-0.010055804,1.1233742,1.1239132,3.719246e-05,5.0969943e-06,3.3248736e-05,-4.349276e-06,0,0,1
626416000,626262000,626264000,47.398146499999996,8.5457545,0,1.0,1.0,0.031208143,-0.004033145,0.03075147,-0.007364262,1.1237967,1.124339,3.4666347e-05,5.7869585e-07,3.3882272e-05,-2.6641937e-06,0,0,1
626816000,626662000,626664000,47.398146499999996,8.5457545,0,1.0,1.0,0.030668506,-0.00085485354,0.030714598,-0.004471191,1.1241591,1.1246936,3.346705e-05,2.5990174e-08,3.369773e-05,-1.4916587e-06,0,0,1
627216000,627058000,627064000,47.398146499999996,8.5457546,0,1.0,1.0,0.028901732,-0.008256854,0.029913375,-0.0061443187,1.1244425,1.124978,2.9714642e-05,2.4240699e-06,3.1937347e-05,-1.9037511e-06,0,0,1
627616000,627462000,627464000,47.398146499999996,8.5457546,0,1.0,1.0,0.02804269,-0.0071676336,0.029077362,-0.006601641,1.1246862,1.1252145,2.796842e-05,1.8263175e-06,3.0163623e-05,-1.8691459e-06,0,0,1
628016000,627862000,627864000,47.398146499999996,8.5457546,0,1.0,1.0,0.028534357,-0.010480493,0.028836027,-0.008325576,1.1248722,1.1254026,2.895296e-05,3.9040515e-06,2.9625551e-05,-2.7735484e-06,0,0,1
628416000,628262000,628264000,47.398146499999996,8.5457546,0,1.0,1.0,0.026377441,-0.00970824,0.027743323,-0.008940093,1.1250194,1.1255505,2.473804e-05,3.3494691e-06,2.7453323e-05,-3.0295132e-06,0,0,1
628816000,628662000,628664000,47.3981466,8.5457546,0,1.0,1.0,0.013011159,-0.009280113,0.021195695,-0.009091213,1.1251503,1.1256738,6.0184057e-06,3.0602291e-06,1.7926694e-05,-3.0431647e-06,0,0,1
