timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
625256000,625256000,-0.62330574,0.0017349771,-0.00032376198,-0.78197634,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625260000,625260000,-0.62328535,0.0017304111,-0.00031134405,-0.7819926,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625268000,625268000,-0.6232603,0.0017466623,-0.00028623833,-0.78201246,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625276000,625276000,-0.623279,0.0017922282,-0.00021826474,-0.7819975,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625288000,625288000,-0.6233011,0.0018174745,-0.00022173302,-0.78197974,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625296000,625296000,-0.6232604,0.0018058567,-0.00025045182,-0.7820122,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625308000,625308000,-0.6232334,0.001833202,-0.0003556038,-0.78203374,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625316000,625316000,-0.623243,0.0018699456,-0.00033545238,-0.782026,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625328000,625328000,-0.62323743,0.0019132441,-0.00032304323,-0.78203034,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625336000,625336000,-0.6232329,0.0019478,-0.00028339273,-0.7820339,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625348000,625348000,-0.6232236,0.002018895,-0.00026509588,-0.7820411,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625356000,625356000,-0.62325144,0.0020839616,-0.00024272251,-0.7820187,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625368000,625368000,-0.62325716,0.0020935342,-0.00026089058,-0.78201413,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625376000,625376000,-0.6232351,0.0020584993,-0.0002173306,-0.78203183,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625388000,625388000,-0.62320995,0.0020006348,-0.00015091979,-0.78205204,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625396000,625396000,-0.6231771,0.0019902166,-0.00012945328,-0.78207815,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625408000,625408000,-0.623207,0.0020415077,-0.00010795274,-0.78205436,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625416000,625416000,-0.623197,0.0020775213,-7.0037015e-05,-0.7820622,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625428000,625428000,-0.6231602,0.0021204897,-6.4202315e-05,-0.78209144,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625436000,625436000,-0.6231447,0.0021017652,-4.5299803e-05,-0.7821038,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625448000,625448000,-0.6231633,0.0020644856,-7.436818e-06,-0.7820891,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625456000,625456000,-0.623178,0.002059887,-2.8846316e-05,-0.78207743,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625468000,625468000,-0.62314206,0.002109845,-1.6673735e-05,-0.7821058,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625476000,625476000,-0.62310064,0.0021186078,-7.785017e-06,-0.7821388,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625488000,625488000,-0.6231402,0.0021780576,-4.0058735e-06,-0.78210706,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625496000,625496000,-0.6231542,0.0021866364,2.7881528e-05,-0.78209597,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625508000,625508000,-0.6231428,0.0022067942,2.9950008e-05,-0.7821051,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625516000,625516000,-0.6231346,0.0021530432,9.9716184e-05,-0.7821117,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625528000,625528000,-0.62315327,0.0021424626,0.00015049076,-0.78209674,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625536000,625536000,-0.6231509,0.0021122177,7.7127654e-05,-0.78209877,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625548000,625548000,-0.6231117,0.0020821095,7.0763286e-05,-0.7821302,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625556000,625556000,-0.62313306,0.0020795881,7.159e-05,-0.7821132,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625568000,625568000,-0.623129,0.0020756957,7.601659e-05,-0.7821164,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625576000,625576000,-0.6231092,0.0020922811,9.2946e-05,-0.782132,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625588000,625588000,-0.6230842,0.00209289,-4.5028803e-05,-0.78215206,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625596000,625596000,-0.62306094,0.0021182979,-0.000115329276,-0.7821705,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625608000,625608000,-0.62308645,0.0021087967,-0.00017268925,-0.78215027,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625616000,625616000,-0.62307084,0.0021003832,-0.00018113444,-0.7821627,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625628000,625628000,-0.6230326,0.0020678632,-0.00013856933,-0.7821931,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625636000,625636000,-0.6230159,0.0020549977,-0.0001403892,-0.78220654,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625648000,625648000,-0.6230254,0.0020952108,-0.00015656945,-0.7821989,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625656000,625656000,-0.6230106,0.002078944,-0.00015645668,-0.78221077,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625668000,625668000,-0.62303907,0.0020634483,-0.00020568028,-0.782188,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625676000,625676000,-0.6230149,0.00199997,-0.00023322107,-0.7822074,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625688000,625688000,-0.623041,0.0020322467,-0.00021477477,-0.7821865,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625696000,625696000,-0.62305814,0.0020275514,-0.00023510115,-0.78217286,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625708000,625708000,-0.6230492,0.0020244275,-0.00023467078,-0.78218,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625716000,625716000,-0.62305796,0.0020435383,-0.00020035487,-0.78217304,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625728000,625728000,-0.62306845,0.002015494,-0.0001465856,-0.78216463,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625736000,625736000,-0.6230381,0.0020519816,-0.0001315931,-0.7821887,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625748000,625748000,-0.6229942,0.0021279936,-8.579701e-05,-0.7822236,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625756000,625756000,-0.62295413,0.0021554942,-8.8093715e-05,-0.7822554,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625768000,625768000,-0.6229323,0.0021682256,-0.00010202224,-0.78227276,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625776000,625776000,-0.62290853,0.0021913664,-3.5353674e-05,-0.78229165,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625788000,625788000,-0.62285984,0.0021641692,2.424663e-05,-0.7823304,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625796000,625796000,-0.6228489,0.0021525035,8.618475e-06,-0.78233916,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625808000,625808000,-0.62285274,0.0021164974,-5.6371846e-05,-0.78233635,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625816000,625816000,-0.622851,0.0020879647,-7.2600415e-05,-0.7823378,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625828000,625828000,-0.6228452,0.0021079225,-6.128354e-05,-0.78234243,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625836000,625836000,-0.62287307,0.0021038346,-5.438848e-05,-0.7823202,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625848000,625848000,-0.6229111,0.0020630488,-1.3155036e-05,-0.78229,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625856000,625856000,-0.62290967,0.0020932117,-2.6724547e-06,-0.78229105,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625868000,625868000,-0.62295127,0.0020575563,-8.025322e-06,-0.78225803,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625876000,625876000,-0.6229492,0.0020169371,-7.100809e-05,-0.78225976,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625888000,625888000,-0.6230171,0.001977983,-0.000102634665,-0.7822057,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625896000,625896000,-0.6230112,0.0018971971,-5.4429267e-05,-0.7822106,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625908000,625908000,-0.6229299,0.0018891392,-8.346551e-05,-0.7822754,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625916000,625916000,-0.6229191,0.0018753149,-0.000110186535,-0.782284,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625928000,625928000,-0.6229381,0.0018310813,-0.00013577152,-0.782269,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
625936000,625936000,-0.62295,0.0018502533,-0.00012452468,-0.7822595,0.999981,1.1641534e-10,2.9103834e-11,0.0061826417,3
