timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
625256000,0.0026631544,-0.008788435,-0.00079896196,4000,0,-0.062249243,1.7182694e-07,-9.844959,4000,0,0,0,1
625260000,-0.004261097,-0.0055926493,0.012516841,4000,0,0.0035913028,0.029927697,-9.836578,4000,0,0,0,1
625264000,-0.0061252965,-6.875648e-09,0.013315796,4000,0,0.09816226,0.043095805,-9.878479,4000,0,0,0,1
625268000,-0.010386323,-0.0013316236,0.0015978997,4000,0,0.04908113,0.058658123,-9.904813,4000,0,0,0,1
625272000,-0.018642124,-0.003195824,-0.005858952,4000,0,-0.08619127,0.1436523,-9.834186,4000,0,0,0,1
625276000,-0.023702126,1.7331123e-09,-0.0071905605,4000,0,-0.077811554,0.16400301,-9.816229,4000,0,0,0,1
625280000,-0.017310534,0.005326322,-0.0053263647,4000,0,-0.029927526,0.087388545,-9.824609,4000,0,0,0,1
625284000,-0.00053263654,0.0037283897,-0.006391608,4000,0,-0.020350713,0.0323219,-9.824609,4000,0,0,0,1
625288000,0.009054749,0.0021305094,-0.00426107,4000,0,-0.059855048,-0.021547645,-9.815031,4000,0,0,0,1
625292000,0.006657914,0.0031957608,0.0077231736,4000,0,-0.06105215,-0.043095466,-9.7803135,4000,0,0,0,1
625296000,0.0066579184,0.0013315597,0.017044231,4000,0,0.03351883,0.0323219,-9.793484,4000,0,0,0,1
625300000,0.009587311,0.0130495215,0.010120038,4000,0,0.040701427,0.07900883,-9.853339,4000,0,0,0,1
625304000,0.011984158,0.02290322,0.0018642342,4000,0,0.01436521,0.041898705,-9.904813,4000,0,0,0,1
625308000,0.008788454,0.0077231587,0.0034620739,4000,0,-0.015562311,0.051475517,-9.894039,4000,0,0,0,1
625312000,-0.0055926447,0.0010652636,-0.0018641953,4000,0,-0.07302317,0.105345055,-9.788693,4000,0,0,0,1
625316000,-0.015180018,0.007190535,-0.005592647,4000,0,-0.065840565,0.090979844,-9.725246,4000,0,0,0,1
625320000,-0.007190527,0.004793703,-6.937838e-09,4000,0,-0.037110135,0.034716096,-9.76954,4000,0,0,0,1
625324000,-0.0005326298,0.004527379,0.001597887,4000,0,-0.037110135,0.022745091,-9.803061,4000,0,0,0,1
625328000,-0.012783177,0.003994735,1.8651885e-08,4000,0,-0.014365209,0.043095805,-9.842566,4000,0,0,0,1
625332000,-0.01917476,0.0002663173,0.00026634056,4000,0,0.04070143,-0.027533151,-9.866506,4000,0,0,0,1
625336000,-0.0085221175,0.0010652723,0.0013315747,4000,0,0.028730422,-0.01556214,-9.811439,4000,0,0,0,1
625340000,-0.003994744,0.00719054,0.0023968262,4000,0,-0.021547817,0.074220434,-9.783907,4000,0,0,0,1
625344000,-0.010652647,0.0095873745,0.002130542,4000,0,0.03232173,0.06703783,-9.831791,4000,0,0,0,1
