timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
4435000,-0.006826291,-0.00382195,0.0007128761,0.0,0.0,1.1641532e-10,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
4443000,0.0007927173,0.0066898847,0.0008343403,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
4635000,0.0139282085,0.0016170854,0.00034138467,0.0,0.0,1.7640486e-10,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
4835000,0.0034279032,0.0045680273,-0.0007626845,0.0,0.0,7.9590064e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
5035000,-0.007674246,0.012439559,0.0014205906,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
5235000,-0.00041735516,0.00071607204,0.0015036175,0.0,0.0,2.910383e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
5427000,0.00017509861,0.0012678592,-0.0016099997,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
5635000,0.004931675,-0.003822504,-0.0005736009,0.0,0.0,0.0,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
5835000,0.0006499742,0.0038675265,-0.0002112245,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
6035000,-0.01626972,0.0033304072,-0.0004427468,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
6235000,-0.0044714883,0.004442621,-0.0011056077,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
6435000,-0.0033346924,6.9849193e-10,0.03726687,0.0,0.0,1.1641532e-10,0,0,1,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
6635000,1.3096724e-10,-5.820766e-11,0.003931608,0.0,0.0,0.0,0,0,1,0,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
6835000,-0.00051314966,-0.008515672,-0.0013986931,0.0,0.0,-2.3283064e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
7035000,0.009814396,0.005255591,-0.000593552,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7235000,0.00135174,-0.00019006734,-0.001313889,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
7435000,0.0036642186,0.0027710362,-0.0001335057,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7635000,0.00030662285,0.0061841845,-0.0012255313,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
7835000,-0.0039607976,0.0060177576,-0.00068153697,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
8035000,0.011283716,-1.7462298e-10,2.764864e-10,0.0,0.0,-4.656613e-10,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
8235000,-0.0029448178,-0.0014090489,-0.0012572883,0.0,0.0,-1.1641532e-10,0,0,1,-2,0,-2,0,2,2,2,2,2,2,2,2,2,2,2,2
