timestamp,airspeed_timestamp_rel,airspeed_validated_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
4435000,32767,32767,32767,32767,32767,32767,32767
4439000,32767,32767,32767,32767,32767,32767,32767
4443000,32767,32767,32767,32767,32767,32767,32767
4447000,32767,32767,32767,32767,32767,32767,32767
4451000,32767,32767,32767,32767,-40,32767,32767
4455000,32767,32767,32767,32767,32767,32767,32767
4459000,32767,32767,32767,32767,32767,32767,32767
4463000,32767,32767,32767,32767,32767,32767,32767
4467000,32767,32767,32767,32767,32767,32767,32767
4471000,32767,32767,32767,32767,32767,32767,32767
4475000,32767,32767,32767,32767,32767,32767,32767
4479000,32767,32767,32767,32767,32767,32767,32767
4483000,32767,32767,32767,32767,32767,32767,32767
4487000,32767,32767,32767,32767,32767,32767,32767
4491000,32767,32767,32767,32767,32767,32767,32767
4495000,32767,32767,32767,32767,32767,32767,32767
4499000,32767,32767,32767,32767,32767,32767,32767
4503000,32767,32767,32767,32767,32767,32767,32767
4507000,32767,32767,32767,32767,32767,32767,32767
4511000,32767,32767,32767,32767,0,32767,32767
4515000,32767,32767,32767,32767,32767,0,32767
4519000,32767,32767,32767,32767,32767,32767,32767
4523000,32767,32767,32767,32767,32767,32767,32767
4527000,32767,32767,32767,32767,32767,32767,32767
4531000,32767,32767,32767,32767,32767,32767,32767
4535000,32767,32767,32767,32767,32767,32767,32767
4539000,32767,32767,32767,32767,32767,-40,32767
4543000,32767,32767,32767,32767,32767,32767,32767
4547000,32767,32767,32767,32767,32767,32767,32767
4551000,32767,32767,32767,32767,32767,32767,32767
4555000,32767,32767,32767,32767,32767,32767,32767
4559000,32767,32767,32767,32767,32767,32767,32767
4563000,32767,32767,32767,32767,32767,32767,32767
4567000,32767,32767,32767,32767,32767,32767,32767
4571000,32767,32767,32767,32767,0,32767,32767
4575000,32767,32767,32767,32767,32767,32767,32767
4579000,32767,32767,32767,32767,32767,32767,32767
4583000,32767,32767,32767,32767,32767,32767,32767
4587000,32767,32767,32767,32767,32767,32767,32767
4591000,32767,32767,32767,32767,32767,32767,32767
4595000,32767,32767,32767,32767,32767,32767,32767
4599000,32767,32767,32767,32767,32767,32767,32767
4603000,32767,32767,32767,32767,32767,32767,32767
4607000,32767,32767,32767,32767,32767,32767,32767
4611000,32767,32767,32767,32767,32767,32767,32767
4615000,32767,32767,32767,32767,32767,32767,32767
4619000,32767,32767,32767,32767,32767,32767,32767
4623000,32767,32767,32767,32767,32767,32767,32767
4627000,32767,32767,32767,32767,32767,32767,32767
4631000,32767,32767,32767,32767,32767,32767,32767
4635000,32767,32767,32767,32767,32767,32767,32767
4639000,32767,32767,32767,32767,-40,32767,32767
4643000,32767,32767,32767,32767,32767,32767,32767
4647000,32767,32767,32767,32767,32767,0,32767
4651000,32767,32767,32767,32767,32767,32767,32767
4655000,32767,32767,32767,32767,32767,32767,32767
4659000,32767,32767,32767,32767,32767,32767,32767
4663000,32767,32767,32767,32767,32767,32767,32767
4667000,32767,32767,32767,32767,32767,32767,32767
4671000,32767,32767,32767,32767,32767,32767,32767
4675000,32767,32767,32767,32767,32767,32767,32767
4679000,32767,32767,32767,32767,32767,32767,32767
4683000,32767,32767,32767,32767,32767,-40,32767
4687000,32767,32767,32767,32767,32767,32767,32767
4691000,32767,32767,32767,32767,32767,32767,32767
4695000,32767,32767,32767,32767,32767,32767,32767
4699000,32767,32767,32767,32767,32767,32767,32767
4703000,32767,32767,32767,32767,-40,32767,32767
4707000,32767,32767,32767,32767,32767,32767,32767
4711000,32767,32767,32767,32767,32767,32767,32767
4715000,32767,32767,32767,32767,32767,32767,32767
4719000,32767,32767,32767,32767,32767,32767,32767
4723000,32767,32767,32767,32767,32767,32767,32767
4727000,32767,32767,32767,32767,32767,32767,32767
4731000,32767,32767,32767,32767,32767,32767,32767
4735000,32767,32767,32767,32767,32767,32767,32767
4739000,32767,32767,32767,32767,32767,32767,32767
4743000,32767,32767,32767,32767,32767,32767,32767
4747000,32767,32767,32767,32767,32767,32767,32767
4751000,32767,32767,32767,32767,32767,32767,32767
4755000,32767,32767,32767,32767,32767,32767,32767
4759000,32767,32767,32767,32767,32767,32767,32767
4763000,32767,32767,32767,32767,32767,32767,32767
4767000,32767,32767,32767,32767,-40,32767,32767
4771000,32767,32767,32767,32767,32767,32767,32767
4775000,32767,32767,32767,32767,32767,32767,32767
4779000,32767,32767,32767,32767,32767,32767,32767
4783000,32767,32767,32767,32767,32767,-40,32767
4787000,32767,32767,32767,32767,32767,32767,32767
4791000,32767,32767,32767,32767,32767,32767,32767
4795000,32767,32767,32767,32767,32767,32767,32767
4799000,32767,32767,32767,32767,32767,32767,32767
4803000,32767,32767,32767,32767,32767,32767,32767
4807000,32767,32767,32767,32767,32767,32767,32767
4811000,32767,32767,32767,32767,32767,32767,32767
4815000,32767,32767,32767,32767,32767,32767,32767
4819000,32767,32767,32767,32767,32767,32767,32767
4823000,32767,32767,32767,32767,0,0,32767
4827000,32767,32767,32767,32767,32767,32767,32767
4831000,32767,32767,32767,32767,32767,32767,32767
4835000,32767,32767,32767,32767,32767,32767,32767
4839000,32767,32767,32767,32767,32767,32767,32767
4843000,32767,32767,32767,32767,32767,32767,32767
4847000,32767,32767,32767,32767,32767,32767,32767
4851000,32767,32767,32767,32767,32767,32767,32767
4855000,32767,32767,32767,32767,32767,32767,32767
4859000,32767,32767,32767,32767,32767,32767,32767
4863000,32767,32767,32767,32767,32767,32767,32767
4867000,32767,32767,32767,32767,32767,32767,32767
4871000,32767,32767,32767,32767,32767,32767,32767
4875000,32767,32767,32767,32767,32767,32767,32767
4879000,32767,32767,32767,32767,32767,32767,32767
4883000,32767,32767,32767,32767,32767,32767,32767
4887000,32767,32767,32767,32767,32767,32767,32767
4891000,32767,32767,32767,32767,-40,32767,32767
4895000,32767,32767,32767,32767,32767,32767,32767
4899000,32767,32767,32767,32767,32767,32767,32767
4903000,32767,32767,32767,32767,32767,32767,32767
4907000,32767,32767,32767,32767,32767,32767,32767
4911000,32767,32767,32767,32767,32767,32767,32767
4915000,32767,32767,32767,32767,32767,32767,32767
4919000,32767,32767,32767,32767,32767,0,32767
4923000,32767,32767,32767,32767,32767,32767,32767
4927000,32767,32767,32767,32767,32767,32767,32767
4931000,32767,32767,32767,32767,32767,32767,32767
4935000,32767,32767,32767,32767,32767,32767,32767
4939000,32767,32767,32767,32767,32767,32767,32767
4943000,32767,32767,32767,32767,32767,32767,32767
4947000,32767,32767,32767,32767,32767,32767,32767
4951000,32767,32767,32767,32767,32767,32767,32767
4955000,32767,32767,32767,32767,-40,32767,32767
4959000,32767,32767,32767,32767,32767,32767,32767
4963000,32767,32767,32767,32767,32767,32767,32767
4967000,32767,32767,32767,32767,32767,-40,32767
4971000,32767,32767,32767,32767,32767,32767,32767
4975000,32767,32767,32767,32767,32767,32767,32767
4979000,32767,32767,32767,32767,32767,32767,32767
4983000,32767,32767,32767,32767,32767,32767,32767
4987000,32767,32767,32767,32767,32767,32767,32767
4991000,32767,32767,32767,32767,32767,32767,32767
4995000,32767,32767,32767,32767,32767,32767,32767
4999000,32767,32767,32767,32767,32767,32767,32767
5003000,32767,32767,32767,32767,32767,32767,32767
5007000,32767,32767,32767,32767,32767,32767,32767
5011000,32767,32767,32767,32767,32767,32767,32767
5015000,32767,32767,32767,32767,32767,32767,32767
5019000,32767,32767,32767,32767,-40,32767,32767
5023000,32767,32767,32767,32767,32767,32767,32767
5027000,32767,32767,32767,32767,32767,32767,32767
5031000,32767,32767,32767,32767,32767,32767,32767
5035000,32767,32767,32767,32767,32767,32767,32767
5039000,32767,32767,32767,32767,32767,32767,32767
5043000,32767,32767,32767,32767,32767,32767,32767
5047000,32767,32767,32767,32767,32767,32767,32767
5051000,32767,32767,32767,32767,32767,0,32767
5055000,32767,32767,32767,32767,32767,32767,32767
5059000,32767,32767,32767,32767,32767,32767,32767
5063000,32767,32767,32767,32767,32767,32767,32767
5067000,32767,32767,32767,32767,32767,32767,32767
5071000,32767,32767,32767,32767,32767,32767,32767
5075000,32767,32767,32767,32767,32767,32767,32767
5079000,32767,32767,32767,32767,-40,32767,32767
5083000,32767,32767,32767,32767,32767,32767,32767
