timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
4435000,4435000,0,nan,nan,0.00037318512,-0.0022128448,-0.00020847481,0.0,0.0,0.0,0.006611949,-0.03064041,0.0009210481,0.0002709407,-4.757865e-06,7.2823605e-06,0.0007337779,0.2679615,-0.25718537,0.0016554258,-0.0022601269,0.0002823619,-0.000436243,0.0,0.02056511,nan,0.1,0.010000001,0.0,14.187328,10.012793,7.074805,3.1624644,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
4443000,4443000,0,nan,nan,0.00043307294,-0.002464173,-0.00021873659,0.0,0.0,0.0,0.0081142,-0.032250542,0.00020691557,-0.00045262492,-4.757865e-06,7.2823605e-06,0.0007337779,0.1860397,-0.1985667,-0.06791902,-0.0023823222,0.00030987873,-0.000477929,0.0,0.020620182,nan,0.1,0.010000001,0.0,14.191954,10.014103,7.0751963,3.1624823,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
4451000,4451000,0,nan,nan,0.0005065903,-0.002730781,-0.00024105678,0.0,0.0,0.0,0.0097133275,-0.0336518,-0.00051193393,-0.0011837598,-4.757865e-06,7.2823605e-06,0.0007337779,0.19744551,-0.17135717,-0.061690338,-0.0024825113,0.0003386747,-0.00050239696,0.0,0.020677809,nan,0.1,0.010000001,0.0,14.196803,10.015477,7.0755935,3.1625009,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
4459000,4459000,0,nan,nan,0.00059259136,-0.0030034233,-0.0002753681,0.0,0.0,0.0,0.011415144,-0.033921473,-0.000901982,-0.0015881362,-4.757865e-06,7.2823605e-06,0.0007337779,0.20966135,-0.028923992,-0.015383585,-0.0027350509,0.00036874993,-0.00068265887,0.0,0.020738002,nan,0.1,0.010000001,0.0,14.201877,10.016915,7.0760083,3.1625202,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
4467000,4467000,0,nan,nan,0.0006967812,-0.0032782026,-0.0003119231,0.0,0.0,0.0,0.0138404695,-0.034243595,5.0690287e-05,-0.00065119273,-4.757865e-06,7.2823605e-06,0.0007337779,0.29954433,-0.03460571,0.15634204,-0.0028771826,0.00040010439,-0.00075548317,0.0,0.020800754,nan,0.1,0.010000001,0.0,14.207175,10.018416,7.076443,3.1625407,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
4475000,4475000,0,nan,nan,0.0008081631,-0.0035658663,-0.00034834375,0.0,0.0,0.0,0.013052708,-0.037057918,0.00036759343,-0.00035090614,-4.757865e-06,7.2823605e-06,0.0007337779,-0.10256306,-0.34536344,0.07966486,-0.003032524,0.00043273804,-0.0008442615,0.0,0.020866066,nan,0.1,0.010000001,0.0,14.212697,10.019981,7.0769043,3.162562,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
4483000,4483000,0,nan,nan,0.0009197198,-0.003872976,-0.00039061112,0.0,0.0,0.0,0.014120761,-0.038394075,-0.0002602626,-0.0009958807,-4.757865e-06,7.2823605e-06,0.0007337779,0.12901041,-0.15993267,-0.03650924,-0.0031401531,0.0004666509,-0.00088793307,0.0,0.02093394,nan,0.1,0.010000001,0.0,14.218441,10.02161,7.07739,3.1625838,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
4491000,4491000,0,nan,nan,0.0010380822,-0.00419308,-0.0004441794,0.0,0.0,0.0,0.014409595,-0.040652785,-0.0011550358,-0.0019079939,-4.757865e-06,7.2823605e-06,0.0007337779,0.031263173,-0.27471372,-0.06863987,-0.003321455,0.00050184294,-0.0010077901,0.0,0.021004371,nan,0.099999994,0.010000001,0.0,14.224409,10.023302,7.077888,3.1626065,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
4507000,4507000,0,nan,nan,0.0012875466,-0.004890178,-0.0005631135,0.0,0.0,0.0,0.015484833,-0.044609528,4.829315e-05,-0.0007392032,-4.757865e-06,7.2823605e-06,0.0007337779,0.034473028,-0.2025472,0.16908021,-0.00355604,0.00057606417,-0.0011267854,0.0,0.021152908,nan,0.1,0.010000001,0.0,14.237015,10.026877,7.0789375,3.1626544,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
4515000,4515000,0,nan,nan,0.0014259389,-0.0052521345,-0.0006237546,0.0,0.0,0.0,0.017933263,-0.044332303,-0.0011239687,-0.0019284044,-4.757865e-06,7.2823605e-06,0.0007337779,0.30050442,0.04342995,-0.102488786,-0.0038158756,0.0006150936,-0.0013323935,0.0,0.021231018,nan,0.1,0.010000001,0.0,14.24365,10.028761,7.0795007,3.1626797,inf,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1
