timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_pressure_pa,ambient_temperature,rho,temperature_source,calibration_count
4383000,4363000,6620172,488.12158,95597.81,15.0,1.1555697,0,1
4447000,4425666,6620172,487.9338,95599.94,15.0,1.1555954,0,1
4511000,4488333,6620172,488.15445,95597.414,15.0,1.1555649,0,1
4571000,4551000,6620172,488.0934,95598.12,15.0,1.1555734,0,1
4635000,4615000,6620172,488.03708,95598.77,15.0,1.1555814,0,1
4699000,4677666,6620172,488.07465,95598.31,15.0,1.1555756,0,1
4763000,4740333,6620172,488.0183,95598.96,15.0,1.1555835,0,1
4823000,4803000,6620172,488.05118,95598.6,15.0,1.1555792,0,1
4887000,4867000,6620172,488.12158,95597.79,15.0,1.1555694,0,1
4951000,4929666,6620172,488.0089,95599.1,15.0,1.1555852,0,1
5015000,4992333,6620172,488.12158,95597.81,15.0,1.1555697,0,1
5075000,5055000,6620172,488.06525,95598.445,15.0,1.1555774,0,1
5139000,5119000,6620172,488.07935,95598.27,15.0,1.1555753,0,1
5203000,5181666,6620172,488.02768,95598.91,15.0,1.1555829,0,1
5267000,5244333,6620172,488.04178,95598.71,15.0,1.1555805,0,1
5327000,5307000,6620172,488.13098,95597.71,15.0,1.1555685,0,1
5391000,5371000,6620172,488.0183,95598.97,15.0,1.1555836,0,1
5455000,5433666,6620172,488.12158,95597.81,15.0,1.1555697,0,1
5519000,5496333,6620172,488.0887,95598.164,15.0,1.1555738,0,1
5579000,5559000,6620172,488.06055,95598.49,15.0,1.1555779,0,1
5643000,5623000,6620172,487.94788,95599.805,15.0,1.1555938,0,1
5707000,5685666,6620172,488.06995,95598.375,15.0,1.1555765,0,1
5771000,5748333,6620172,488.14508,95597.53,15.0,1.1555662,0,1
5831000,5811000,6620172,488.06995,95598.375,15.0,1.1555765,0,1
5895000,5875000,6620172,488.05588,95598.555,15.0,1.1555786,0,1
5959000,5937666,6620172,488.1075,95597.945,15.0,1.1555712,0,1
6023000,6000333,6620172,488.07465,95598.32,15.0,1.1555758,0,1
6083000,6063000,6620172,488.03708,95598.74,15.0,1.1555809,0,1
6147000,6127000,6620172,488.03238,95598.81,15.0,1.1555817,0,1
6211000,6189666,6620172,488.07465,95598.35,15.0,1.1555762,0,1
6275000,6252333,6620172,488.0089,95599.086,15.0,1.155585,0,1
6335000,6315000,6620172,488.1169,95597.836,15.0,1.1555699,0,1
6399000,6379000,6620172,488.06525,95598.44,15.0,1.1555773,0,1
6463000,6441666,6620172,488.07935,95598.26,15.0,1.155575,0,1
6527000,6504333,6620172,488.03238,95598.836,15.0,1.1555821,0,1
6587000,6567000,6620172,488.13098,95597.71,15.0,1.1555685,0,1
6651000,6629666,6620172,488.0934,95598.09,15.0,1.155573,0,1
6715000,6693666,6620172,488.04178,95598.73,15.0,1.1555808,0,1
6779000,6756333,6620172,488.02768,95598.875,15.0,1.1555825,0,1
6839000,6819000,6620172,488.04648,95598.695,15.0,1.1555804,0,1
6903000,6883000,6620172,488.06055,95598.5,15.0,1.155578,0,1
6967000,6945666,6620172,488.03708,95598.75,15.0,1.155581,0,1
7031000,7008333,6620172,488.0183,95599.0,15.0,1.1555841,0,1
7091000,7071000,6620172,488.07935,95598.29,15.0,1.1555755,0,1
7155000,7135000,6620172,488.02768,95598.88,15.0,1.1555825,0,1
7219000,7197666,6620172,488.07935,95598.27,15.0,1.1555753,0,1
7283000,7260333,6620172,488.06055,95598.46,15.0,1.1555775,0,1
7343000,7323000,6620172,488.0934,95598.125,15.0,1.1555735,0,1
7407000,7387000,6620172,488.04648,95598.69,15.0,1.1555803,0,1
7471000,7449666,6620172,488.14508,95597.52,15.0,1.1555661,0,1
7535000,7512333,6620172,488.05588,95598.56,15.0,1.1555787,0,1
7595000,7575000,6620172,488.1122,95597.93,15.0,1.1555711,0,1
7659000,7639000,6620172,488.07465,95598.336,15.0,1.155576,0,1
7723000,7701666,6620172,488.0136,95599.02,15.0,1.1555843,0,1
7783000,7763000,6620172,488.12158,95597.81,15.0,1.1555697,0,1
7847000,7827000,6620172,488.13098,95597.69,15.0,1.1555681,0,1
7911000,7891000,6620172,488.03708,95598.75,15.0,1.155581,0,1
7975000,7953666,6620172,488.17325,95597.23,15.0,1.1555625,0,1
8039000,8016333,6620172,488.07935,95598.25,15.0,1.1555749,0,1
8099000,8079000,6620172,488.0981,95598.086,15.0,1.1555729,0,1
8163000,8141666,6620172,488.07935,95598.28,15.0,1.1555754,0,1
8227000,8205666,6620172,488.13098,95597.72,15.0,1.1555686,0,1
8291000,8268333,6620172,488.0183,95598.98,15.0,1.1555837,0,1
8351000,8331000,6620172,488.0981,95598.04,15.0,1.1555724,0,1
8415000,8395000,6620172,487.99484,95599.24,15.0,1.155587,0,1
8479000,8457666,6620172,488.0981,95598.086,15.0,1.1555729,0,1
8543000,8520333,6620172,488.0934,95598.1,15.0,1.1555731,0,1
8603000,8583000,6620172,488.0887,95598.19,15.0,1.1555742,0,1
8667000,8647000,6620172,488.1169,95597.84,15.0,1.15557,0,1
8731000,8709666,6620172,488.13568,95597.63,15.0,1.1555675,0,1
8795000,8772333,6620172,488.0136,95599.06,15.0,1.1555848,0,1
8855000,8835000,6620172,488.04648,95598.69,15.0,1.1555803,0,1
8919000,8899000,6620172,488.06995,95598.41,15.0,1.1555768,0,1
8983000,8961666,6620172,488.03238,95598.836,15.0,1.1555821,0,1
9047000,9024333,6620172,488.1075,95597.96,15.0,1.1555715,0,1
9107000,9087000,6620172,488.0042,95599.16,15.0,1.155586,0,1
9171000,9151000,6620172,488.05118,95598.586,15.0,1.1555791,0,1
