timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
5311000,5311000,0.99994767,-0.009149274,-0.0036864805,-0.0027481697,1.0,0.0,0.0,0.0,0
5315000,5315000,0.9999494,-0.008992924,-0.003640234,-0.0026535704,1.0,0.0,0.0,0.0,0
5319000,5319000,0.999951,-0.008838824,-0.0036096983,-0.0026109086,1.0,0.0,0.0,0.0,0
5323000,5323000,0.9999526,-0.008666488,-0.003597742,-0.002615956,1.0,0.0,0.0,0.0,0
5327000,5327000,0.9999543,-0.008472638,-0.0035950814,-0.0026090376,1.0,0.0,0.0,0.0,0
5331000,5331000,0.9999562,-0.008260289,-0.0035980304,-0.0025668505,1.0,0.0,0.0,0.0,0
5335000,5335000,0.99995804,-0.008049728,-0.003576387,-0.0025338596,1.0,0.0,0.0,0.0,0
5339000,5339000,0.9999593,-0.007920042,-0.0035349044,-0.0025103712,1.0,0.0,0.0,0.0,0
5343000,5343000,0.9999601,-0.007858338,-0.0034799005,-0.002438668,1.0,0.0,0.0,0.0,0
5347000,5347000,0.9999612,-0.0077710934,-0.0034157948,-0.002353099,1.0,0.0,0.0,0.0,0
5351000,5351000,0.99996275,-0.0076365187,-0.0033323884,-0.002272243,1.0,0.0,0.0,0.0,0
5355000,5355000,0.9999645,-0.0074940403,-0.00322846,-0.0021521014,1.0,0.0,0.0,0.0,0
5359000,5359000,0.9999659,-0.007374639,-0.003117222,-0.002021375,1.0,0.0,0.0,0.0,0
5363000,5363000,0.9999674,-0.00723652,-0.0030286824,-0.0019298396,1.0,0.0,0.0,0.0,0
5367000,5367000,0.99996895,-0.0070591285,-0.0029887275,-0.0018745085,1.0,0.0,0.0,0.0,0
5371000,5371000,0.9999701,-0.006899309,-0.0029717507,-0.0018345136,1.0,0.0,0.0,0.0,0
5375000,5375000,0.99997133,-0.00674223,-0.0029328845,-0.0018111285,1.0,0.0,0.0,0.0,0
5379000,5379000,0.99997246,-0.0065994,-0.002865414,-0.0018151428,1.0,0.0,0.0,0.0,0
5387000,5387000,0.9999745,-0.0063740746,-0.0027547164,-0.0017207349,1.0,0.0,0.0,0.0,0
5391000,5391000,0.9999755,-0.0062340014,-0.0027444034,-0.0016635036,1.0,0.0,0.0,0.0,0
5395000,5395000,0.99997634,-0.0061083003,-0.0027378283,-0.001611615,1.0,0.0,0.0,0.0,0
5403000,5403000,0.99997836,-0.005843944,-0.002646035,-0.0015070215,1.0,0.0,0.0,0.0,0
5407000,5407000,0.9999791,-0.0057254587,-0.0026059567,-0.0015143043,1.0,0.0,0.0,0.0,0
5411000,5411000,0.99997973,-0.0056245634,-0.00257277,-0.0015205282,1.0,0.0,0.0,0.0,0
5415000,5415000,0.99998057,-0.0055020885,-0.0025089134,-0.0014900516,1.0,0.0,0.0,0.0,0
5419000,5419000,0.99998176,-0.005348227,-0.0024279223,-0.001434557,1.0,0.0,0.0,0.0,0
5423000,5423000,0.9999828,-0.0051929783,-0.0023687785,-0.001403945,1.0,0.0,0.0,0.0,0
5427000,5427000,0.9999838,-0.005021711,-0.0023140174,-0.0013924475,1.0,0.0,0.0,0.0,0
5431000,5431000,0.9999848,-0.004850996,-0.002247304,-0.0013864327,1.0,0.0,0.0,0.0,0
5435000,5435000,0.9999857,-0.004693102,-0.0021863668,-0.0013671026,1.0,0.0,0.0,0.0,0
5443000,5443000,0.9999872,-0.0044766264,-0.0020357948,-0.0012378228,1.0,0.0,0.0,0.0,0
5447000,5447000,0.9999876,-0.0044323476,-0.0019607495,-0.0011864057,1.0,0.0,0.0,0.0,0
5451000,5451000,0.9999881,-0.004364166,-0.001909615,-0.0011156606,1.0,0.0,0.0,0.0,0
5455000,5455000,0.9999888,-0.0042481925,-0.001859236,-0.0010315934,1.0,0.0,0.0,0.0,0
5459000,5459000,0.9999896,-0.0040661343,-0.0018026057,-0.00096447434,1.0,0.0,0.0,0.0,0
5463000,5463000,0.9999906,-0.0038511693,-0.0017615822,-0.0009452251,1.0,0.0,0.0,0.0,0
5471000,5471000,0.9999921,-0.0035075475,-0.0016509866,-0.0009869403,1.0,0.0,0.0,0.0,0
5475000,5475000,0.9999925,-0.0033896465,-0.0015939896,-0.0009956767,1.0,0.0,0.0,0.0,0
5479000,5479000,0.9999931,-0.0032480122,-0.0015322834,-0.0010204489,1.0,0.0,0.0,0.0,0
5483000,5483000,0.9999936,-0.0030941018,-0.0014679747,-0.0010601245,1.0,0.0,0.0,0.0,0
5487000,5487000,0.99999416,-0.0029362978,-0.001433556,-0.0010822263,1.0,0.0,0.0,0.0,0
5495000,5495000,0.99999505,-0.0026546842,-0.0013831501,-0.0010455424,1.0,0.0,0.0,0.0,0
5499000,5499000,0.99999547,-0.0024967322,-0.0013726451,-0.0010282418,1.0,0.0,0.0,0.0,0
5503000,5503000,0.99999595,-0.0023192842,-0.00134105,-0.0010259283,1.0,0.0,0.0,0.0,0
5511000,5511000,0.9999968,-0.0020322124,-0.0012008237,-0.0010146882,1.0,0.0,0.0,0.0,0
5515000,5515000,0.999997,-0.001936498,-0.001118219,-0.0009780164,1.0,0.0,0.0,0.0,0
5519000,5519000,0.9999972,-0.0019034239,-0.0010581147,-0.0009302273,1.0,0.0,0.0,0.0,0
5523000,5523000,0.9999973,-0.0018938,-0.0010043648,-0.0008744616,1.0,0.0,0.0,0.0,0
5527000,5527000,0.99999756,-0.001811487,-0.0009185186,-0.0008651082,1.0,0.0,0.0,0.0,0
5531000,5531000,0.9999979,-0.001631692,-0.000836512,-0.00087057217,1.0,0.0,0.0,0.0,0
5535000,5535000,0.9999984,-0.0014384924,-0.0007728507,-0.0008409126,1.0,0.0,0.0,0.0,0
5539000,5539000,0.99999857,-0.0012857539,-0.0006974535,-0.00082301814,1.0,0.0,0.0,0.0,0
5543000,5543000,0.99999887,-0.0011744364,-0.00063676864,-0.0008254405,1.0,0.0,0.0,0.0,0
5547000,5547000,0.999999,-0.0010663512,-0.00059948524,-0.0008006731,1.0,0.0,0.0,0.0,0
5551000,5551000,0.99999917,-0.0009485475,-0.0005582896,-0.00075362495,1.0,0.0,0.0,0.0,0
5555000,5555000,0.99999934,-0.00086002133,-0.00051070156,-0.0007289697,1.0,0.0,0.0,0.0,0
5559000,5559000,0.9999993,-0.00080176577,-0.0004618608,-0.0007113335,1.0,0.0,0.0,0.0,0
5563000,5563000,0.9999995,-0.0007243451,-0.00040768425,-0.00066493073,1.0,0.0,0.0,0.0,0
5567000,5567000,0.9999995,-0.00064527715,-0.00035336585,-0.0006100854,1.0,0.0,0.0,0.0,0
5571000,5571000,0.99999964,-0.00058643013,-0.0002697433,-0.0005595272,1.0,0.0,0.0,0.0,0
5575000,5575000,0.99999976,-0.00053448783,-0.00015778559,-0.0005111918,1.0,0.0,0.0,0.0,0
5579000,5579000,0.9999998,-0.0004367491,-6.7692396e-05,-0.0004692294,1.0,0.0,0.0,0.0,0
5583000,5583000,0.9999999,-0.00030385368,-2.5475356e-05,-0.00042786062,1.0,0.0,0.0,0.0,0
5587000,5587000,0.99999994,-0.0001693723,-1.09557095e-05,-0.0003854179,1.0,0.0,0.0,0.0,0
5591000,5591000,0.99999994,-4.4467724e-05,1.552366e-06,-0.00035315988,1.0,0.0,0.0,0.0,0
5595000,5595000,0.99999994,5.434069e-05,2.205802e-05,-0.0003480664,1.0,0.0,0.0,0.0,0
5599000,5599000,0.99999994,0.00011851336,2.3979483e-05,-0.00038189368,1.0,0.0,0.0,0.0,0
5607000,5607000,0.9999999,0.00027142657,5.6068813e-05,-0.0005214674,1.0,0.0,0.0,0.0,0
5611000,5611000,0.9999999,0.00035964747,0.00010645643,-0.00053346687,1.0,0.0,0.0,0.0,0
5619000,5619000,0.99999976,0.00060065096,0.00014288414,-0.0004675177,1.0,0.0,0.0,0.0,0
5623000,5623000,0.99999976,0.0006964909,0.00021098093,-0.00039963642,1.0,0.0,0.0,0.0,0
5627000,5627000,0.99999964,0.00067620975,0.00027008116,-0.00034931352,1.0,0.0,0.0,0.0,0
5631000,5631000,0.99999976,0.00065613695,0.00032454464,-0.0003596988,1.0,0.0,0.0,0.0,0
5635000,5635000,0.9999996,0.00072874175,0.00039230156,-0.00038661758,1.0,0.0,0.0,0.0,0
5643000,5643000,0.9999995,0.00081214384,0.00041780047,-0.00031155284,1.0,0.0,0.0,0.0,0
5647000,5647000,0.9999996,0.00086615013,0.0004107217,-0.00027133865,1.0,0.0,0.0,0.0,0
5651000,5651000,0.9999995,0.00093666627,0.00041163564,-0.0002401791,1.0,0.0,0.0,0.0,0
5655000,5655000,0.99999946,0.0010092288,0.00038287684,-0.00019887504,1.0,0.0,0.0,0.0,0
5659000,5659000,0.9999994,0.0010871107,0.00035893175,-0.0001783407,1.0,0.0,0.0,0.0,0
5663000,5663000,0.99999934,0.0011468565,0.00037146665,-0.00021680939,1.0,0.0,0.0,0.0,0
5667000,5667000,0.9999992,0.0011719746,0.00036803802,-0.00026220788,1.0,0.0,0.0,0.0,0
5671000,5671000,0.9999992,0.0011620596,0.0003621221,-0.0002579618,1.0,0.0,0.0,0.0,0
5675000,5675000,0.9999992,0.0011580244,0.00039931666,-0.0002270364,1.0,0.0,0.0,0.0,0
5679000,5679000,0.99999917,0.0012058504,0.00044263998,-0.00021731129,1.0,0.0,0.0,0.0,0
5683000,5683000,0.99999905,0.0012967933,0.00044445493,-0.00024600487,1.0,0.0,0.0,0.0,0
5687000,5687000,0.9999989,0.0013784511,0.0004279692,-0.00029376312,1.0,0.0,0.0,0.0,0
5691000,5691000,0.9999988,0.0014558585,0.00045303648,-0.00034625552,1.0,0.0,0.0,0.0,0
5699000,5699000,0.9999986,0.0015503117,0.0005672715,-0.00041462094,1.0,0.0,0.0,0.0,0
5703000,5703000,0.99999857,0.0015759426,0.0005744343,-0.00042101508,1.0,0.0,0.0,0.0,0
5707000,5707000,0.99999857,0.0015738847,0.00058958575,-0.0004193913,1.0,0.0,0.0,0.0,0
5711000,5711000,0.99999845,0.0015718786,0.0006387204,-0.00042766085,1.0,0.0,0.0,0.0,0
5715000,5715000,0.99999845,0.0016247359,0.000695291,-0.00043755193,1.0,0.0,0.0,0.0,0
5723000,5723000,0.99999815,0.0017456955,0.00071129465,-0.00043634663,1.0,0.0,0.0,0.0,0
5727000,5727000,0.99999815,0.0017366341,0.0006820284,-0.00043528172,1.0,0.0,0.0,0.0,0
5731000,5731000,0.99999803,0.0017946707,0.00068209483,-0.00047309336,1.0,0.0,0.0,0.0,0
5735000,5735000,0.9999979,0.001864254,0.00070187025,-0.0005181055,1.0,0.0,0.0,0.0,0
5739000,5739000,0.99999785,0.0018896526,0.00072480604,-0.0005316555,1.0,0.0,0.0,0.0,0
5743000,5743000,0.99999774,0.0019443094,0.0007551917,-0.0005332602,1.0,0.0,0.0,0.0,0
5747000,5747000,0.9999975,0.0020421043,0.0007951688,-0.0005487273,1.0,0.0,0.0,0.0,0
5751000,5751000,0.9999974,0.0021047129,0.00080865645,-0.0005772856,1.0,0.0,0.0,0.0,0
5755000,5755000,0.9999974,0.0021161786,0.0007779247,-0.00058672106,1.0,0.0,0.0,0.0,0
5759000,5759000,0.9999974,0.0020963019,0.00073079875,-0.00056554,1.0,0.0,0.0,0.0,0
5763000,5763000,0.99999756,0.0020540745,0.000723109,-0.00054852135,1.0,0.0,0.0,0.0,0
5767000,5767000,0.9999975,0.0020024888,0.00079336273,-0.0005619452,1.0,0.0,0.0,0.0,0
5771000,5771000,0.9999975,0.0019722187,0.0008961155,-0.0005854407,1.0,0.0,0.0,0.0,0
5775000,5775000,0.9999974,0.0019986806,0.00094296405,-0.0005800399,1.0,0.0,0.0,0.0,0
5779000,5779000,0.9999974,0.0020592024,0.0009285256,-0.00056733674,1.0,0.0,0.0,0.0,0
5783000,5783000,0.9999973,0.0020908557,0.00090890366,-0.00054950867,1.0,0.0,0.0,0.0,0
5787000,5787000,0.9999973,0.002098047,0.00092227035,-0.00050868606,1.0,0.0,0.0,0.0,0
5791000,5791000,0.99999726,0.0020918984,0.00096631184,-0.00051166693,1.0,0.0,0.0,0.0,0
5799000,5799000,0.9999972,0.002073116,0.0010169799,-0.0005876693,1.0,0.0,0.0,0.0,0
5803000,5803000,0.9999972,0.0020738407,0.0010101743,-0.0006085337,1.0,0.0,0.0,0.0,0
5807000,5807000,0.9999972,0.0020704411,0.0009832893,-0.00058487605,1.0,0.0,0.0,0.0,0
5811000,5811000,0.9999973,0.0020505488,0.00094944116,-0.00053778087,1.0,0.0,0.0,0.0,0
5819000,5819000,0.99999756,0.0019803334,0.00091660843,-0.0004795162,1.0,0.0,0.0,0.0,0
5827000,5827000,0.9999977,0.0019766774,0.00081746007,-0.00043826556,1.0,0.0,0.0,0.0,0
5831000,5831000,0.99999774,0.0019698734,0.00075668877,-0.000436445,1.0,0.0,0.0,0.0,0
5835000,5835000,0.99999785,0.0019322076,0.00071024697,-0.0004015498,1.0,0.0,0.0,0.0,0
5839000,5839000,0.99999785,0.0019275082,0.00069940137,-0.00034703483,1.0,0.0,0.0,0.0,0
5847000,5847000,0.9999977,0.0019959635,0.00077782344,-0.0002481071,1.0,0.0,0.0,0.0,0
5851000,5851000,0.9999978,0.00193219,0.00078035466,-0.00022506806,1.0,0.0,0.0,0.0,0
5859000,5859000,0.99999803,0.0018122108,0.00079892174,-0.0002175455,1.0,0.0,0.0,0.0,0
5863000,5863000,0.99999815,0.0018002494,0.00077336485,-0.00018788807,1.0,0.0,0.0,0.0,0
5867000,5867000,0.99999815,0.001834088,0.0007083815,-0.00015673912,1.0,0.0,0.0,0.0,0
5871000,5871000,0.9999982,0.0018329741,0.000627513,-0.00013261245,1.0,0.0,0.0,0.0,0
5875000,5875000,0.9999982,0.0018073465,0.0005781217,-0.0001350442,1.0,0.0,0.0,0.0,0
5879000,5879000,0.9999983,0.0017863048,0.00061729166,-0.00014912052,1.0,0.0,0.0,0.0,0
5883000,5883000,0.9999982,0.0017833813,0.00067028735,-0.0001519979,1.0,0.0,0.0,0.0,0
5887000,5887000,0.99999815,0.001805861,0.00063609454,-0.0001327525,1.0,0.0,0.0,0.0,0
5891000,5891000,0.9999982,0.0018059751,0.0005677893,-9.864074e-05,1.0,0.0,0.0,0.0,0
5895000,5895000,0.99999833,0.001742089,0.00052577746,-6.6111046e-05,1.0,0.0,0.0,0.0,0
5899000,5899000,0.99999857,0.0016627485,0.0004923195,-5.1134768e-05,1.0,0.0,0.0,0.0,0
5903000,5903000,0.9999986,0.0016387557,0.00048635853,-6.389653e-05,1.0,0.0,0.0,0.0,0
5907000,5907000,0.9999985,0.0016462065,0.00051442924,-4.3061937e-05,1.0,0.0,0.0,0.0,0
5915000,5915000,0.9999984,0.0017399627,0.0006130746,3.2621367e-05,1.0,0.0,0.0,0.0,0
5919000,5919000,0.9999983,0.0017740899,0.0006783605,6.938893e-05,1.0,0.0,0.0,0.0,0
5923000,5923000,0.9999981,0.001813011,0.0007042379,0.00010288686,1.0,0.0,0.0,0.0,0
5927000,5927000,0.99999803,0.0018605137,0.00069320365,7.9812206e-05,1.0,0.0,0.0,0.0,0
5931000,5931000,0.99999803,0.0018744564,0.0006843079,5.0906165e-05,1.0,0.0,0.0,0.0,0
5935000,5935000,0.99999803,0.0018662482,0.0006996078,3.7474558e-05,1.0,0.0,0.0,0.0,0
5939000,5939000,0.99999803,0.0018580449,0.0007212853,3.1511638e-05,1.0,0.0,0.0,0.0,0
5943000,5943000,0.99999803,0.0018490144,0.00072681106,3.135187e-05,1.0,0.0,0.0,0.0,0
5947000,5947000,0.999998,0.0018730147,0.00071793806,4.1261428e-05,1.0,0.0,0.0,0.0,0
5951000,5951000,0.9999979,0.0019004344,0.0007317769,6.876594e-05,1.0,0.0,0.0,0.0,0
5955000,5955000,0.999998,0.0018964136,0.0007951788,8.040894e-05,1.0,0.0,0.0,0.0,0
5963000,5963000,0.9999976,0.001988358,0.00088235555,2.0411533e-05,1.0,0.0,0.0,0.0,0
5967000,5967000,0.9999977,0.0020178603,0.00087353645,-1.6609894e-05,1.0,0.0,0.0,0.0,0
5971000,5971000,0.99999756,0.0020282075,0.00086733414,-3.0705873e-05,1.0,0.0,0.0,0.0,0
5975000,5975000,0.9999976,0.0020548522,0.00083749025,-2.196772e-05,1.0,0.0,0.0,0.0,0
5979000,5979000,0.99999756,0.0020745646,0.0008135252,-2.2798993e-05,1.0,0.0,0.0,0.0,0
5983000,5983000,0.9999976,0.00203822,0.0008373973,-1.5497364e-05,1.0,0.0,0.0,0.0,0
5987000,5987000,0.99999774,0.001969921,0.00085433695,-3.9219203e-06,1.0,0.0,0.0,0.0,0
5991000,5991000,0.9999978,0.0019324118,0.00083927665,-6.814821e-06,1.0,0.0,0.0,0.0,0
5995000,5995000,0.99999774,0.0019566957,0.0008444385,-6.6594885e-07,1.0,0.0,0.0,0.0,0
6003000,6003000,0.9999976,0.0020110146,0.00093245745,-2.922277e-05,1.0,0.0,0.0,0.0,0
6007000,6007000,0.99999774,0.0019525829,0.0009328563,-6.9868285e-05,1.0,0.0,0.0,0.0,0
6011000,6011000,0.99999785,0.0018962967,0.00093109306,-9.45414e-05,1.0,0.0,0.0,0.0,0
6015000,6015000,0.99999785,0.0018431493,0.00095694244,-8.453433e-05,1.0,0.0,0.0,0.0,0
6019000,6019000,0.999998,0.0017569769,0.001001976,-7.818848e-05,1.0,0.0,0.0,0.0,0
6023000,6023000,0.9999981,0.0016813853,0.0010240519,-6.0693288e-05,1.0,0.0,0.0,0.0,0
6027000,6027000,0.9999981,0.0016723989,0.0010109239,-1.5628713e-05,1.0,0.0,0.0,0.0,0
6031000,6031000,0.99999803,0.0017256716,0.0009860594,6.467528e-06,1.0,0.0,0.0,0.0,0
6035000,6035000,0.999998,0.0017682589,0.0009633823,-4.4452386e-06,1.0,0.0,0.0,0.0,0
6039000,6039000,0.9999981,0.0017554186,0.000955023,-5.1426814e-06,1.0,0.0,0.0,0.0,0
6043000,6043000,0.9999981,0.0017303324,0.0009887329,-9.608957e-07,1.0,0.0,0.0,0.0,0
6051000,6051000,0.9999982,0.0016380297,0.00097212614,-2.5145953e-05,1.0,0.0,0.0,0.0,0
6059000,6059000,0.99999845,0.0015096895,0.00097051496,-3.804434e-05,1.0,0.0,0.0,0.0,0
6063000,6063000,0.9999985,0.0015171877,0.00090371835,-8.5119675e-05,1.0,0.0,0.0,0.0,0
6067000,6067000,0.99999857,0.0014991288,0.0008193298,-0.000120481236,1.0,0.0,0.0,0.0,0
6075000,6075000,0.9999986,0.001539498,0.00068733795,-0.00017358233,1.0,0.0,0.0,0.0,0
6079000,6079000,0.99999857,0.0015830393,0.0006445423,-0.00018384491,1.0,0.0,0.0,0.0,0
6083000,6083000,0.99999857,0.0015898095,0.00060499937,-0.00022550431,1.0,0.0,0.0,0.0,0
6087000,6087000,0.9999986,0.0015680145,0.0005739825,-0.00026444226,1.0,0.0,0.0,0.0,0
6091000,6091000,0.9999987,0.0015334759,0.00057164335,-0.00024740148,1.0,0.0,0.0,0.0,0
6095000,6095000,0.99999875,0.0014926804,0.0005885202,-0.00022710458,1.0,0.0,0.0,0.0,0
6099000,6099000,0.9999987,0.0014678306,0.0005687036,-0.000248417,1.0,0.0,0.0,0.0,0
6103000,6103000,0.9999988,0.0014926498,0.0005047,-0.00024902113,1.0,0.0,0.0,0.0,0
6107000,6107000,0.9999988,0.0014977903,0.00046300172,-0.0002027106,1.0,0.0,0.0,0.0,0
6111000,6111000,0.9999989,0.0014380455,0.00048098207,-0.00016583997,1.0,0.0,0.0,0.0,0
6115000,6115000,0.9999989,0.0013687111,0.00050749787,-0.00013694176,1.0,0.0,0.0,0.0,0
6119000,6119000,0.9999991,0.0013095953,0.0004855573,-0.00010595514,1.0,0.0,0.0,0.0,0
6123000,6123000,0.99999905,0.0012813507,0.00044981766,-0.00011548191,1.0,0.0,0.0,0.0,0
6131000,6131000,0.9999992,0.0012278815,0.0004732446,-0.0001141152,1.0,0.0,0.0,0.0,0
6135000,6135000,0.9999992,0.0011499786,0.0004849653,-9.047347e-05,1.0,0.0,0.0,0.0,0
6139000,6139000,0.9999993,0.0011178873,0.00048867863,-5.46129e-05,1.0,0.0,0.0,0.0,0
6143000,6143000,0.9999993,0.0011072811,0.000496142,-7.5444405e-06,1.0,0.0,0.0,0.0,0
6147000,6147000,0.99999934,0.0010732374,0.00052438147,3.636297e-05,1.0,0.0,0.0,0.0,0
6151000,6151000,0.9999993,0.001051102,0.0005829714,0.00010109898,1.0,0.0,0.0,0.0,0
6155000,6155000,0.9999993,0.001051344,0.00063090085,0.0001753981,1.0,0.0,0.0,0.0,0
6159000,6159000,0.9999993,0.0010427096,0.0006331121,0.0002203894,1.0,0.0,0.0,0.0,0
6167000,6167000,0.99999934,0.0010064067,0.0006168474,0.00029441254,1.0,0.0,0.0,0.0,0
6171000,6171000,0.99999917,0.0010730252,0.0006042383,0.00034150176,1.0,0.0,0.0,0.0,0
6175000,6175000,0.99999917,0.0011606338,0.00055977463,0.00034170004,1.0,0.0,0.0,0.0,0
6179000,6179000,0.9999992,0.0011720782,0.00048227923,0.00032645566,1.0,0.0,0.0,0.0,0
6187000,6187000,0.9999993,0.0011075096,0.0004744092,0.0003004988,1.0,0.0,0.0,0.0,0
6195000,6195000,0.99999934,0.0010785533,0.0003926381,0.00019194686,1.0,0.0,0.0,0.0,0
6203000,6203000,0.99999946,0.0009945452,0.0003099734,0.00013726437,1.0,0.0,0.0,0.0,0
6211000,6211000,0.9999995,0.00094292016,0.00029294795,0.00019667708,1.0,0.0,0.0,0.0,0
6215000,6215000,0.9999995,0.00095536275,0.00029934224,0.00021735771,1.0,0.0,0.0,0.0,0
6219000,6219000,0.99999946,0.0009225339,0.00030465456,0.00024497518,1.0,0.0,0.0,0.0,0
6227000,6227000,0.9999996,0.0007757461,0.00026466697,0.00032900635,1.0,0.0,0.0,0.0,0
6235000,6235000,0.9999997,0.00075814314,0.00017809418,0.00031714677,1.0,0.0,0.0,0.0,0
6239000,6239000,0.9999997,0.0007630086,0.00019209519,0.000324599,1.0,0.0,0.0,0.0,0
6243000,6243000,0.9999997,0.0007694782,0.00021139134,0.00037360023,1.0,0.0,0.0,0.0,0
6247000,6247000,0.9999997,0.0007813826,0.00022334601,0.00038320423,1.0,0.0,0.0,0.0,0
6251000,6251000,0.9999997,0.0007831604,0.0002422351,0.0003747065,1.0,0.0,0.0,0.0,0
6259000,6259000,0.99999964,0.0006805655,0.00019631538,0.0004930072,1.0,0.0,0.0,0.0,0
6263000,6263000,0.99999976,0.0006448169,0.00016151821,0.0004776014,1.0,0.0,0.0,0.0,0
6271000,6271000,0.9999997,0.0007055254,0.00011349528,0.00033495133,1.0,0.0,0.0,0.0,0
6275000,6275000,0.9999997,0.0007071957,8.099324e-05,0.0003014508,1.0,0.0,0.0,0.0,0
6279000,6279000,0.99999976,0.00065676175,2.6180827e-05,0.00026476433,1.0,0.0,0.0,0.0,0
6283000,6283000,0.9999998,0.00060046767,-2.1727903e-05,0.00025684483,1.0,0.0,0.0,0.0,0
6291000,6291000,0.99999994,0.00051083276,-3.70081e-05,0.00028903256,1.0,0.0,0.0,0.0,0
6295000,6295000,0.9999998,0.00047593948,-7.780231e-05,0.00030406457,1.0,0.0,0.0,0.0,0
6299000,6299000,0.9999998,0.00049430964,-0.000119112425,0.00031803525,1.0,0.0,0.0,0.0,0
6303000,6303000,0.9999998,0.00051919644,-0.00013050604,0.0003059411,1.0,0.0,0.0,0.0,0
