timestamp,timestamp_sample,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
4555000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384386504119,11468804,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.2403047,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
4955000,0,47.3977508,8.5456074,488.053,488.053,1756384386905119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.254019,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5355000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384387305119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,5.274908,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5755000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384387704119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.1808624,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
6155000,0,47.3977508,8.5456074,488.053,488.053,1756384388104119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.559176,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
6555000,0,47.3977508,8.5456074,488.053,488.053,1756384388504119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.99029976,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
6955000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384388905119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,0.99972457,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
7359000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384389305119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.7276742,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
7755000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384389704119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,5.189213,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
8155000,0,47.3977508,8.5456074,488.053,488.053,1756384390104119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,3.9180894,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
8555000,0,47.3977508,8.5456074,488.053,488.053,1756384390505119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,4.6999974,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
8955000,0,47.3977508,8.5456074,488.053,488.053,1756384390904119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.25743607,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
9355000,0,47.3977508,8.5456074,488.052,488.052,1756384391305119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,4.8141413,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
9755000,0,47.3977508,8.5456074,488.052,488.052,1756384391705119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.69703,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
10155000,0,47.3977508,8.5456074,488.053,488.053,1756384392104119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.4669491,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
10555000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384392505119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.9577823,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
10955000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384392904119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,2.948908,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
11355000,0,47.3977508,8.5456074,488.053,488.053,1756384393305119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.15234,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
11755000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384393705119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.4463543,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
12155000,0,47.3977508,8.5456074,488.053,488.053,1756384394104119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.530029,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
12555000,0,47.3977508,8.5456074,488.053,488.053,1756384394505119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.01,4.231725,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
12955000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384394904119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.8966492,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
13355000,0,47.3977508,8.5456074,488.053,488.053,1756384395305119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.2514746,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
13755000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384395705119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.43755403,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
14155000,0,47.3977508,8.5456074,488.055,488.055,1756384396104119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.5007076,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
14555000,0,47.3977508,8.5456074,488.05400000000003,488.05400000000003,1756384396505119,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,0.62465334,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
