timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
4807000,4807000,1310988,1310988,2.5566571e-05,4.1545274e-05,4.1545223e-05,-0.0015753846,-0.00057460775,-0.0386089,4000,4000,0,0,0,1
5307000,5307000,1310988,1310988,-6.7111636e-05,-1.0651647e-06,4.1545358e-05,0.0008236055,-0.00011970941,-0.03917872,4000,4000,0,0,0,1
5807000,5807000,1310988,1310988,-1.8109782e-05,-5.219784e-05,3.3023236e-05,-0.0010151415,-0.00029209198,-0.038537078,4000,4000,0,0,0,1
6307000,6307000,1310988,1310988,3.5153822e-05,1.8109638e-05,-5.006732e-05,0.0004692636,-0.00025857313,-0.039092526,4000,4000,0,0,0,1
6807000,6807000,1310988,1310988,-5.8589572e-05,-4.0480132e-05,1.8109264e-05,0.00063206925,0.0006416468,-0.038699877,4000,4000,0,0,0,1
7307000,7307000,1310988,1310988,2.3436567e-05,-0.000103330574,-6.071994e-05,-0.00013407532,0.0006847424,-0.03859932,4000,4000,0,0,0,1
7807000,7807000,1310988,1310988,-1.3848906e-05,-7.350292e-05,5.4328844e-05,-0.00045968674,-0.0007661439,-0.03876692,4000,4000,0,0,0,1
8307000,8307000,1310988,1310988,-2.1021958e-10,4.129379e-11,-4.1545314e-05,0.00060812733,-0.0012737146,-0.039485183,4000,4000,0,0,0,1
8807000,8807000,1310988,1310988,0.000104396095,5.8590027e-05,-0.00019494319,0.00029209265,-0.0008523351,-0.039748542,4000,4000,0,0,0,1
9307000,9307000,1310988,1310988,-1.3848145e-05,3.0892897e-05,2.4500963e-05,-0.0008762779,-0.00015801663,-0.03937026,4000,4000,0,0,0,1
9807000,9807000,1310988,1310988,8.522136e-05,2.2369943e-05,5.2197905e-05,-0.00043574476,0.00032082372,-0.03909732,4000,4000,0,0,0,1
10307000,10307000,1310988,1310988,2.982759e-05,-3.408874e-05,4.0479685e-05,-0.0005363013,9.0980386e-05,-0.040428497,4000,4000,0,0,0,1
10807000,10807000,1310988,1310988,4.4741435e-05,0.00021198759,3.1957956e-05,-0.00012928693,-5.7460165e-05,-0.03896324,4000,4000,0,0,0,1
11307000,11307000,1310988,1310988,0.00016405086,3.835004e-05,7.776384e-05,3.3518827e-05,-0.00015801664,-0.0386089,4000,4000,0,0,0,1
11807000,11807000,1310988,1310988,4.261068e-05,-2.1304754e-06,-4.261048e-05,-0.00068953016,-0.00038786,-0.03858017,4000,4000,0,0,0,1
12307000,12307000,1310988,1310988,-0.00012144015,2.3435465e-05,-2.8762468e-05,0.00042137952,8.6191954e-05,-0.03918351,4000,4000,0,0,0,1
12807000,12807000,1310988,1310988,5.8589565e-05,-6.3918837e-06,2.769678e-05,5.267244e-05,-0.00023463112,-0.038422156,4000,4000,0,0,0,1
13307000,13307000,1310988,1310988,7.1372735e-05,4.9002127e-05,-3.5153753e-05,-0.00059855054,0.0002585745,-0.038972817,4000,4000,0,0,0,1
13807000,13807000,1310988,1310988,-2.4501212e-05,4.1545278e-05,3.089263e-05,0.00064643443,-0.00013407461,-0.039868254,4000,4000,0,0,0,1
14307000,14307000,1310988,1310988,-1.17178815e-05,-5.3262575e-06,-9.587454e-06,-0.0002442086,-0.00042137885,-0.038862683,4000,4000,0,0,0,1
14807000,14807000,1310988,1310988,7.456849e-05,-4.260741e-06,-3.302329e-05,4.788405e-06,-0.00052193535,-0.039164353,4000,4000,0,0,0,1
15307000,15307000,1310988,1310988,6.604635e-05,-3.1957985e-05,-5.219801e-05,-2.8730423e-05,0.00038786136,-0.039432503,4000,4000,0,0,0,1
15807000,15807000,1310988,1310988,-1.0647268e-06,-1.0652817e-05,-5.5393735e-05,5.746083e-05,-0.0008571236,-0.039135627,4000,4000,0,0,0,1
16307000,16307000,1310988,1310988,-6.6046356e-05,2.9827504e-05,4.5806395e-05,-0.00018195937,0.00020590208,-0.039839517,4000,4000,0,0,0,1
16807000,16807000,1310988,1310988,-1.597894e-05,5.7524365e-05,-5.0067356e-05,9.097967e-05,-7.182538e-05,-0.038537078,4000,4000,0,0,0,1
17307000,17307000,1310988,1310988,-1.4914e-05,-2.9827095e-05,6.604647e-05,0.0002777274,0.0002729397,-0.039571367,4000,4000,0,0,0,1
17807000,17807000,1310988,1310988,1.0652599e-05,4.1545383e-05,-1.5978832e-05,-0.0001197101,0.000608128,-0.038623262,4000,4000,0,0,0,1
18307000,18307000,1310988,1310988,-5.006768e-05,-9.0547466e-05,-8.94821e-05,-0.0010869678,-0.0002537847,-0.03932237,4000,4000,0,0,0,1
18807000,18807000,1310988,1310988,3.3023538e-05,1.4913824e-05,5.8589336e-05,-0.00042137952,0.0006512235,-0.038848322,4000,4000,0,0,0,1
19307000,19307000,1310988,1310988,1.3848612e-05,-8.415604e-05,-4.047971e-05,-0.000746991,0.00011971078,-0.0387334,4000,4000,0,0,0,1
19807000,19807000,1310988,1310988,1.704411e-05,4.6871417e-05,2.8762583e-05,0.0007422026,0.000430957,-0.038268927,4000,4000,0,0,0,1
20307000,20307000,1310988,1310988,9.480808e-05,-5.006846e-05,1.704381e-05,0.00041180273,0.0002202673,-0.039705448,4000,4000,0,0,0,1
20807000,20807000,1310988,1310988,9.8004195e-05,2.7697333e-05,3.3023236e-05,-0.00017238254,-9.5767384e-05,-0.03915478,4000,4000,0,0,0,1
21307000,21307000,1310988,1310988,-2.5873173e-10,-3.8350045e-05,0.000111852605,0.00090021995,5.746154e-05,-0.03966714,4000,4000,0,0,0,1
21807000,21807000,1310988,1310988,9.2678965e-05,-7.030783e-05,-9.5872616e-05,-7.6614466e-05,0.00050757144,-0.03845089,4000,4000,0,0,0,1
22307000,22307000,1310988,1310988,-1.3848291e-05,0.00015552859,-1.38491505e-05,-0.00025857383,-0.0006464338,-0.040299203,4000,4000,0,0,0,1
22807000,22807000,1310988,1310988,4.7936588e-05,3.408844e-05,-0.00014168031,-9.5768075e-05,-8.1402184e-05,-0.03903028,4000,4000,0,0,0,1
23307000,23307000,1310988,1310988,-1.9174877e-05,8.522066e-06,-3.8349473e-05,-0.0002777274,-0.00012928621,-0.039207444,4000,4000,0,0,0,1
23807000,23807000,1310988,1310988,0.00015020242,3.4087945e-05,-1.3848234e-05,9.097968e-05,-0.00035912954,-0.040821142,4000,4000,0,0,0,1
24307000,24307000,1310988,1310988,-5.8589794e-05,3.195807e-05,7.989461e-05,0.00050278235,0.00036391936,-0.038235407,4000,4000,0,0,0,1
24807000,24807000,1310988,1310988,2.9828352e-05,0.00024820658,2.5565709e-05,-0.0004788404,-0.00023463112,-0.03946602,4000,4000,0,0,0,1
25307000,25307000,1310988,1310988,0.000104395964,2.3435245e-05,-2.7697231e-05,-0.00010534487,-0.00033518756,-0.039264914,4000,4000,0,0,0,1
25807000,25807000,1310988,1310988,-0.00014487658,-2.1303684e-05,-5.1131734e-05,-3.8307226e-05,0.0009912002,-0.037900217,4000,4000,0,0,0,1
26307000,26307000,1310988,1310988,-1.0652545e-05,0.000102265476,-5.9654707e-05,-2.8730423e-05,-0.00011013261,-0.039059013,4000,4000,0,0,0,1
26807000,26807000,1310988,1310988,0.00011504878,8.415558e-05,-1.384864e-05,6.2249244e-05,-5.2671763e-05,-0.038900986,4000,4000,0,0,0,1
27307000,27307000,1310988,1310988,6.3914944e-05,3.6219222e-05,0.00011398377,3.8307233e-05,-0.00036391802,-0.03952349,4000,4000,0,0,0,1
27807000,27807000,1310988,1310988,-1.5978541e-05,7.350364e-05,-8.8416724e-05,-0.0001388637,-0.0003830716,-0.039839517,4000,4000,0,0,0,1
28307000,28307000,1310988,1310988,-1.9175015e-05,-0.00011398325,-1.1718079e-05,4.309565e-05,-0.0005506658,-0.038972817,4000,4000,0,0,0,1
28807000,28807000,1310988,1310988,4.4741188e-05,-3.195321e-06,-0.0001320928,0.00028251583,-0.000933738,-0.03966714,4000,4000,0,0,0,1
29307000,29307000,1310988,1310988,5.965486e-05,4.2610627e-05,1.5978663e-05,0.00041180273,0.0010055654,-0.039705448,4000,4000,0,0,0,1
29807000,29807000,1310988,1310988,5.2197563e-05,-4.2611014e-06,9.906982e-05,-3.8307233e-05,-0.00092416117,-0.03970545,4000,4000,0,0,0,1
30307000,30307000,1310988,1310988,4.1545616e-05,3.83494e-05,2.0239644e-05,0.000723049,-0.0008571236,-0.03904464,4000,4000,0,0,0,1
30807000,30807000,1310988,1310988,2.556563e-05,-0.00011398332,-7.563402e-05,0.00041180273,0.00086191343,-0.039719813,4000,4000,0,0,0,1
31307000,31307000,1310988,1310988,-0.00010759194,-6.17849e-05,2.3435992e-05,0.0001197101,-8.140216e-05,-0.03952349,4000,4000,0,0,0,1
31807000,31807000,1310988,1310988,2.2370665e-05,9.161255e-05,-2.7697444e-05,-0.0007517795,0.00074220326,-0.038953666,4000,4000,0,0,0,1
32307000,32307000,1310988,1310988,-2.2370188e-05,-8.309101e-05,-5.9654423e-05,-0.0001436521,0.00011013398,-0.039700653,4000,4000,0,0,0,1
32807000,32807000,1310988,1310988,-5.4329445e-05,6.711098e-05,0.000108656925,9.5768075e-05,-0.00027772674,-0.038637627,4000,4000,0,0,0,1
33307000,33307000,1310988,1310988,1.27831245e-05,2.4500843e-05,-7.350334e-05,-2.3942024e-05,0.00025378607,-0.039509118,4000,4000,0,0,0,1
33807000,33807000,1310988,1310988,7.2437804e-05,-7.669928e-05,-0.00010759169,-0.0009768344,9.577486e-06,-0.038977604,4000,4000,0,0,0,1
34307000,34307000,1310988,1310988,-4.5805777e-05,6.391641e-05,2.663136e-05,-0.00022026658,0.00058897445,-0.039557006,4000,4000,0,0,0,1
34807000,34807000,1310988,1310988,2.5566185e-05,9.693912e-05,1.065331e-06,-0.0002873042,0.00034476578,-0.0395187,4000,4000,0,0,0,1
35307000,35307000,1310988,1310988,-9.906929e-05,-6.8177505e-05,-4.0479837e-05,-0.0002777274,-0.0005075701,-0.038455673,4000,4000,0,0,0,1
35807000,35807000,1310988,1310988,-1.3848627e-05,-4.3675744e-05,-2.8762199e-05,1.4365211e-05,0.00040701497,-0.038254555,4000,4000,0,0,0,1
36307000,36307000,1310988,1310988,-2.6631496e-05,7.882944e-05,-4.9002458e-05,-0.00050278235,-4.787722e-06,-0.03907816,4000,4000,0,0,0,1
36807000,36807000,1310988,1310988,-2.237011e-05,-1.597887e-05,-5.645922e-05,-0.0009624692,-0.00023463111,-0.039729387,4000,4000,0,0,0,1
37307000,37307000,1310988,1310988,5.326829e-06,2.4501041e-05,-5.00674e-05,0.00018674775,0.0009816234,-0.03914042,4000,4000,0,0,0,1
37807000,37807000,1310988,1310988,-1.3848091e-05,-2.0240399e-05,-7.243796e-05,0.00034955348,-0.00030645716,-0.039413355,4000,4000,0,0,0,1
38307000,38307000,1310988,1310988,2.8762091e-05,-1.9174737e-05,-1.7044345e-05,-0.00026336225,-0.00030166874,-0.03916914,4000,4000,0,0,0,1
38807000,38807000,1310988,1310988,2.9827237e-05,-5.5393175e-05,-0.00016192044,0.0008379706,0.0015083479,-0.038996764,4000,4000,0,0,0,1
39307000,39307000,1310988,1310988,-7.030754e-05,-3.089251e-05,1.4913661e-05,0.00035913027,-0.00030166877,-0.039513905,4000,4000,0,0,0,1
39807000,39807000,1310988,1310988,-0.000121440185,3.834973e-05,5.6458834e-05,-0.00032082302,9.576876e-05,-0.03940857,4000,4000,0,0,0,1
40307000,40307000,1310988,1310988,6.1785395e-05,2.3435916e-05,2.8761977e-05,-0.00017717094,0.0006703772,-0.038814798,4000,4000,0,0,0,1
40807000,40807000,1310988,1310988,-2.0240694e-05,-0.00012037483,-4.5806253e-05,-0.00052672444,0.0004836295,-0.038953666,4000,4000,0,0,0,1
41307000,41307000,1310988,1310988,-4.047984e-05,-4.0839568e-11,4.261078e-05,0.00011013329,0.00032082372,-0.039106894,4000,4000,0,0,0,1
41807000,41807000,1310988,1310988,-0.00012250518,5.2198237e-05,-4.793719e-05,0.00057460845,-4.7877247e-06,-0.039475597,4000,4000,0,0,0,1
42307000,42307000,1310988,1310988,-2.0240319e-05,-4.048068e-05,4.7936253e-05,-0.00015322893,0.00092416257,-0.038503557,4000,4000,0,0,0,1
42807000,42807000,1310988,1310988,-2.0239715e-05,-9.2678376e-05,7.5633434e-05,-0.00049320556,-0.0008810657,-0.03904464,4000,4000,0,0,0,1
43307000,43307000,1310988,1310988,8.522077e-06,7.03074e-05,1.3848797e-05,-0.00015801731,0.00016759482,-0.039480392,4000,4000,0,0,0,1
43807000,43807000,1310988,1310988,-1.1718354e-05,9.800442e-05,-4.1544994e-05,0.00064164604,0.0005889744,-0.03920266,4000,4000,0,0,0,1
44307000,44307000,1310988,1310988,1.3848422e-05,-8.522038e-06,3.0892705e-05,0.00045968674,-0.00043574406,-0.039341528,4000,4000,0,0,0,1
44807000,44807000,1310988,1310988,1.0652162e-05,1.1718698e-05,-8.0960046e-05,-0.00039743754,-0.0013455409,-0.03909732,4000,4000,0,0,0,1
