timestamp,defer_failsafes_timeout_s,disable_auto_disarm,defer_failsafes,source_type,source_id
1590468000,0,0,0,0,0
1590976000,0,0,0,0,0
1591480000,0,0,0,0,0
1591984000,0,0,0,0,0
1592496000,0,0,0,0,0
1593000000,0,0,0,0,0
1593504000,0,0,0,0,0
1594012000,0,0,0,0,0
1594516000,0,0,0,0,0
1595024000,0,0,0,0,0
1595528000,0,0,0,0,0
1596032000,0,0,0,0,0
1596536000,0,0,0,0,0
1597040000,0,0,0,0,0
1597544000,0,0,0,0,0
1598052000,0,0,0,0,0
1598556000,0,0,0,0,0
1599060000,0,0,0,0,0
1599564000,0,0,0,0,0
1600068000,0,0,0,0,0
1600572000,0,0,0,0,0
1601076000,0,0,0,0,0
1601588000,0,0,0,0,0
1602092000,0,0,0,0,0
1602596000,0,0,0,0,0
1603100000,0,0,0,0,0
1603604000,0,0,0,0,0
1604108000,0,0,0,0,0
1604612000,0,0,0,0,0
1605116000,0,0,0,0,0
1605620000,0,0,0,0,0
1606124000,0,0,0,0,0
1606628000,0,0,0,0,0
1607132000,0,0,0,0,0
1607636000,0,0,0,0,0
1608140000,0,0,0,0,0
1608644000,0,0,0,0,0
1609148000,0,0,0,0,0
1609652000,0,0,0,0,0
1610156000,0,0,0,0,0
1610660000,0,0,0,0,0
1611164000,0,0,0,0,0
1611668000,0,0,0,0,0
1612172000,0,0,0,0,0
1612676000,0,0,0,0,0
1613180000,0,0,0,0,0
1613684000,0,0,0,0,0
1614188000,0,0,0,0,0
1614692000,0,0,0,0,0
1615196000,0,0,0,0,0
1615700000,0,0,0,0,0
1616204000,0,0,0,0,0
1616708000,0,0,0,0,0
1617212000,0,0,0,0,0
1617716000,0,0,0,0,0
1618220000,0,0,0,0,0
1618724000,0,0,0,0,0
1619228000,0,0,0,0,0
1619732000,0,0,0,0,0
1620236000,0,0,0,0,0
1620740000,0,0,0,0,0
1621244000,0,0,0,0,0
1621748000,0,0,0,0,0
1622252000,0,0,0,0,0
1622756000,0,0,0,0,0
1623260000,0,0,0,0,0
1623764000,0,0,0,0,0
1624268000,0,0,0,0,0
1624772000,0,0,0,0,0
1625276000,0,0,0,0,0
1625780000,0,0,0,0,0
1626284000,0,0,0,0,0
1626788000,0,0,0,0,0
1627292000,0,0,0,0,0
1627796000,0,0,0,0,0
1628300000,0,0,0,0,0
1628804000,0,0,0,0,0
1629308000,0,0,0,0,0
1629812000,0,0,0,0,0
1630316000,0,0,0,0,0
1630820000,0,0,0,0,0
1631324000,0,0,0,0,0
1631828000,0,0,0,0,0
1632332000,0,0,0,0,0
1632836000,0,0,0,0,0
1633340000,0,0,0,0,0
1633844000,0,0,0,0,0
1634348000,0,0,0,0,0
1634852000,0,0,0,0,0
1635356000,0,0,0,0,0
1635860000,0,0,0,0,0
1636364000,0,0,0,0,0
1636868000,0,0,0,0,0
1637372000,0,0,0,0,0
1637876000,0,0,0,0,0
1638380000,0,0,0,0,0
1638884000,0,0,0,0,0
1639388000,0,0,0,0,0
1639892000,0,0,0,0,0
1640396000,0,0,0,0,0
1640900000,0,0,0,0,0
1641404000,0,0,0,0,0
1641908000,0,0,0,0,0
1642412000,0,0,0,0,0
1642916000,0,0,0,0,0
1643420000,0,0,0,0,0
1643924000,0,0,0,0,0
1644428000,0,0,0,0,0
1644932000,0,0,0,0,0
1645436000,0,0,0,0,0
1645940000,0,0,0,0,0
1646444000,0,0,0,0,0
1646948000,0,0,0,0,0
1647452000,0,0,0,0,0
