timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,heading_var,unaided_heading,delta_heading,tilt_var,ref_alt,dist_bottom,dist_bottom_var,delta_dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max_z,hagl_max_xy,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_reset_counter,dist_bottom_sensor_bitfield,dead_reckoning
2015916000,2015916000,66708000,47.398166100000005,8.5470148,-68.55163,-23.071337,-488.05646,86876.08,2880536.2,0.0,-0.029273855,0.01451278,0.013,0.0039435243,-0.0035367864,-0.0033599276,2.4400651e-05,0.011549741,0.059517533,0.043982636,1.7962373,0.0009646085,0.153761,0.04853219,6.853395e-05,0.0,0.1000061,0.010000001,0.0,0.49074927,0.2948874,0.17179716,0.0725559,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015924000,2015924000,66708000,47.398166100000005,8.5470148,-68.55176,-23.071234,-488.0564,86876.08,2880536.2,0.0,-0.029025925,0.014651985,0.0134612415,0.00445233,-0.0035367864,-0.0033599276,2.4400651e-05,0.024293354,0.018112043,0.057817433,1.7961571,0.0009639814,0.1536822,0.04853219,6.855943e-05,0.0,0.1000061,0.010000001,0.0,0.4916314,0.29425138,0.17210256,0.07249458,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015932000,2015932000,66708000,47.398166100000005,8.5470148,-68.55189,-23.071129,-488.0563,86876.08,2880536.2,0.0,-0.028944626,0.014755883,0.012452769,0.0034925481,-0.0035367864,-0.0033599276,2.4400651e-05,0.003671197,0.013660239,-0.12590782,1.7960619,0.0009640752,0.1535885,0.04853219,6.8611924e-05,0.0,0.1000061,0.010000001,0.0,0.49253407,0.29464963,0.17244938,0.072553486,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015940000,2015940000,66708000,47.398166100000005,8.5470148,-68.552025,-23.07102,-488.05624,86876.08,2880536.2,0.0,-0.029034851,0.015329696,0.012660014,0.0037494595,-0.0035367864,-0.0033599276,2.4400651e-05,-0.01757015,0.072375454,0.026046297,1.7960016,0.0009641698,0.15352985,0.04853219,6.8664514e-05,0.0,0.1000061,0.010000001,0.0,0.49343997,0.29504853,0.17279679,0.07261235,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015948000,2015948000,66708000,47.398166100000005,8.5470148,-68.55216,-23.070908,-488.05615,86876.08,2880536.2,0.0,-0.02916026,0.015219972,0.013740062,0.0048799855,-0.0035367864,-0.0033599276,2.4400651e-05,-0.02177414,-0.013100093,0.13513629,1.7960767,0.0009642637,0.1536065,0.04853219,6.87171e-05,0.0,0.1000061,0.010000001,0.0,0.49434903,0.29544806,0.17314376,0.07267118,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015956000,2015956000,66708000,47.398166100000005,8.5470148,-68.55231,-23.0708,-488.05606,86876.08,2880536.2,0.0,-0.029501904,0.014976551,0.013709704,0.0049007665,-0.0035367864,-0.0033599276,2.4400651e-05,-0.04856872,-0.02963405,-0.0036740673,1.7960964,0.00096424704,0.1536282,0.04853219,6.876474e-05,0.0,0.1000061,0.010000001,0.0,0.49525875,0.29584822,0.17348476,0.07272997,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015964000,2015964000,66708000,47.398166100000005,8.5470148,-68.55245,-23.070692,-488.05597,86876.08,2880536.2,0.0,-0.029493792,0.014948032,0.013372278,0.004615046,-0.0035367864,-0.0033599276,2.4400651e-05,-0.0046763686,-0.002810506,-0.04206737,1.7960644,0.0009643414,0.15359983,0.04853219,6.881742e-05,0.0,0.1000061,0.010000001,0.0,0.4961742,0.296249,0.17383493,0.07278872,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015972000,2015972000,66708000,47.398166100000005,8.5470148,-68.552605,-23.070583,-488.05588,86876.08,2880536.2,0.0,-0.029936008,0.015227361,0.012680464,0.0039754407,-0.0035367864,-0.0033599276,2.4400651e-05,-0.060791343,0.035632174,-0.08637504,1.796081,0.0009644355,0.15362021,0.04853219,6.887012e-05,0.0,0.1000061,0.010000001,0.0,0.49709284,0.2966504,0.17418417,0.07284743,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015980000,2015980000,66708000,47.398166100000005,8.5470148,-68.55276,-23.07047,-488.05582,86876.08,2880536.2,0.0,-0.030072503,0.014986685,0.012750727,0.0040983404,-0.0035367864,-0.0033599276,2.4400651e-05,-0.022399954,-0.029397331,0.008875503,1.7961193,0.0009645299,0.15366217,0.04853219,6.892288e-05,0.0,0.1000061,0.010000001,0.0,0.49801475,0.29705244,0.1745347,0.07290611,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015988000,2015988000,66708000,47.398166100000005,8.5470148,-68.55292,-23.070362,-488.05573,86876.08,2880536.2,0.0,-0.030117335,0.01483009,0.01374017,0.0051406696,-0.0035367864,-0.0033599276,2.4400651e-05,-0.010779727,-0.018920932,0.12376438,1.7961917,0.0009646244,0.15373811,0.04853219,6.897567e-05,0.0,0.1000061,0.010000001,0.0,0.49893984,0.2974551,0.17488156,0.072964735,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2015996000,2015996000,66708000,47.398166100000005,8.5470148,-68.553085,-23.07025,-488.0556,86876.08,2880536.2,0.0,-0.030288132,0.014721775,0.013827468,0.005298621,-0.0035367864,-0.0033599276,2.4400651e-05,-0.026302109,-0.01335059,0.0106403595,1.796178,0.0009639979,0.15372774,0.04853219,6.900064e-05,0.0,0.1000061,0.010000001,0.0,0.49984843,0.29679614,0.17518397,0.07289913,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2016004000,2016004000,66708000,47.398166100000005,8.5470148,-68.553246,-23.070135,-488.05548,86876.08,2880536.2,0.0,-0.029986821,0.014891764,0.014100555,0.0056424295,-0.0035367864,-0.0033599276,2.4400651e-05,0.032876905,0.021414714,0.03386568,1.7962431,0.0009640919,0.15379712,0.04853219,6.905348e-05,0.0,0.1000061,0.010000001,0.0,0.5007797,0.29719862,0.17553484,0.07295776,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
2016012000,2016012000,66708000,47.398166100000005,8.5470148,-68.553154,-23.070456,-488.05557,86876.08,2880536.2,0.0,-0.029390762,0.014909215,0.013600421,0.005032466,-0.0035367864,-0.0033599276,2.4400651e-05,0.052480415,0.030238636,-0.05774898,1.796319,0.0009639978,0.15387711,0.04853219,6.666411e-05,0.0,0.1000061,0.010000001,0.0,0.4588887,0.28362912,0.15898165,0.07069659,inf,inf,inf,inf,inf,1,1,1,1,5,4,2,1,3,1,1,1,0,4,0,0
