timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
1264000,0.0023397799,0.003150891,7.31711e-05,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1272000,-0.00060741877,0.0016645372,8.0663e-05,0.0,0.0,0.0,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1464000,0.0056222538,-0.0005572928,0.00032387744,0.0,0.0,1.959658e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1664000,-0.0016126044,-0.0027038008,-0.0006818539,0.0,0.0,3.919316e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
1864000,0.0042071985,0.00038888055,-0.00029523813,0.0,0.0,7.094059e-11,0,0,1,-2,-2,-2,-2,2,2,2,2,2,2,2,2,2,2,2,2
2064000,0.0035793884,0.0021571273,0.00016953259,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
2264000,0.0020650541,0.0012654946,0.000112473266,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
2464000,0.0036743043,0.0006905098,-5.856118e-06,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
2664000,-0.0017217229,0.0037715654,0.000264401,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
2864000,0.002056003,-1.4551915e-11,2.910383e-11,0.0,0.0,-1.1641532e-10,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
3064000,0.0025263675,0.0066491286,0.033435356,0.0,0.0,1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
3264000,0.00050458,0.00040162844,0.0027465778,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
3464000,0.0005347319,-1.1641532e-10,0.0010467923,0.0,0.0,-1.1641532e-10,0,0,1,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
3664000,0.0004630753,0.0021471197,0.0007417998,0.0,0.0,0.0,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
3864000,-1.1641532e-10,2.910383e-11,1.7462298e-10,0.0,0.0,-1.1641532e-10,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
4064000,0.0024552369,0.0008204705,0.0001473469,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
4264000,0.00547959,0.0032383788,0.00027023873,0.0,0.0,-1.1641532e-10,0,0,1,0,-2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
