timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err,check_fail_spoofed_gps
2024000,1870974,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2432000,2272151,0.00075268385,0.0,0.00040117698,0,0,0,0,0,0,0,0,0,0,0,0
2832000,2672893,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
3232000,3073330,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
3632000,3473591,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
4032000,3873755,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
4432000,4273851,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
4832000,4673910,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
5232000,5073946,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
5632000,5473967,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
6032000,5873980,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
6432000,6273988,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
6832000,6673993,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
7232000,7073996,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
7632000,7473998,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
8032000,7877999,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
8432000,8274000,3.0163268e-05,0.0006988526,0.0011224635,1,0,0,0,0,0,0,0,0,0,0,0
