timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1264000,0,0.70711,6.0000496e-20,-6.000053e-20,0.70711,0.0,0.0,0.0,0.0,0
1268000,0,0.70711,6.1304203e-20,-6.1304236e-20,0.70711,0.0,0.0,0.0,0.0,0
1276000,0,0.70711,6.3868644e-20,-6.3868677e-20,0.70711,0.0,0.0,0.0,0.0,0
1284000,0,0.70711,6.6376843e-20,-6.637687e-20,0.70711,0.0,0.0,0.0,0.0,0
1296000,0,0.70711,7.003636e-20,-7.003639e-20,0.70711,0.0,0.0,0.0,0.0,0
1304000,0,0.70711,7.2409284e-20,-7.240931e-20,0.70711,0.0,0.0,0.0,0.0,0
1316000,0,0.70711,7.587143e-20,-7.5871455e-20,0.70711,0.0,0.0,0.0,0.0,0
1324000,0,0.70711,7.811637e-20,-7.811639e-20,0.70711,0.0,0.0,0.0,0.0,0
1336000,0,0.70711,8.1391793e-20,-8.139181e-20,0.70711,0.0,0.0,0.0,0.0,0
1344000,0,0.70711,8.351565e-20,-8.351567e-20,0.70711,0.0,0.0,0.0,0.0,0
1356000,0,0.70711,1.8278786e-19,-1.827881e-19,0.70711,0.0,0.0,0.0,0.0,0
1364000,0,0.70711,1.9500607e-19,-1.9500616e-19,0.70711,0.0,0.0,0.0,0.0,0
1376000,0,0.70711,1.9172365e-19,-1.9172369e-19,0.70711,0.0,0.0,0.0,0.0,0
1384000,0,0.70711,1.8965159e-19,-1.8965159e-19,0.70711,0.0,0.0,0.0,0.0,0
1396000,0,0.70711,1.8664179e-19,-1.8664175e-19,0.70711,0.0,0.0,0.0,0.0,0
1404000,0,0.70711,1.8469554e-19,-1.8469547e-19,0.70711,0.0,0.0,0.0,0.0,0
1416000,0,0.70711,1.8186032e-19,-1.8186022e-19,0.70711,0.0,0.0,0.0,0.0,0
1424000,0,0.70711,1.8002367e-19,-1.8002354e-19,0.70711,0.0,0.0,0.0,0.0,0
1436000,0,0.70711,1.773454e-19,-1.7734525e-19,0.70711,0.0,0.0,0.0,0.0,0
1444000,0,0.70711,1.3038467e-19,-1.3038445e-19,0.70711,0.0,0.0,0.0,0.0,0
1456000,0,0.70711,1.3078308e-19,-1.3078286e-19,0.70711,0.0,0.0,0.0,0.0,0
1464000,0,0.70711,1.3098992e-19,-1.309897e-19,0.70711,0.0,0.0,0.0,0.0,0
1476000,0,0.70711,1.06591276e-19,-1.0659099e-19,0.70711,0.0,0.0,0.0,0.0,0
1484000,0,0.70711,8.919422e-06,1.6477403e-05,0.70711,0.0,0.0,0.0,0.0,0
1496000,0,0.70711,1.0950613e-05,1.22476695e-05,0.70711,0.0,0.0,0.0,0.0,0
1504000,0,0.70711,1.14080285e-05,1.1948927e-05,0.70711,0.0,0.0,0.0,0.0,0
1516000,0,0.70711,1.1753854e-05,1.2073874e-05,0.70711,0.0,0.0,0.0,0.0,0
1524000,0,0.70711,1.1939493e-05,1.22352385e-05,0.70711,0.0,0.0,0.0,0.0,0
