timestamp,timestamp_sample,latitude_deg,longitude_deg,altitude_msl_m,altitude_ellipsoid_m,time_utc_usec,device_id,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance,rtcm_crc_failed,rtcm_msg_used
1488000,0,47.3977508,8.5456074,488.44800000000004,488.44800000000004,1756152890804563,11468804,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.01,2.69,5.757492,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
1888000,0,47.3977508,8.5456074,488.1,488.1,1756152891204563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.02,4.5327945,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
2288000,0,47.3977508,8.5456073,488.1,488.1,1756152891608563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.5216246,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
2688000,0,47.3977508,8.5456074,488.107,488.107,1756152892004563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,-0.02,-0.01,-0.01,3.7936475,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
3088000,0,47.3977508,8.5456074,488.106,488.106,1756152892408563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.3346533,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
3488000,0,47.3977508,8.5456074,488.1,488.1,1756152892804563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.03,0.0,0.9393362,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
3888000,0,47.3977508,8.5456074,488.101,488.101,1756152893208563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.03,0.0,0.0,6.1179028,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
4288000,0,47.3977508,8.5456074,488.103,488.103,1756152893604563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,0.3115413,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
4688000,0,47.3977508,8.5456074,488.11,488.11,1756152894008563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,5.0005426,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5088000,0,47.3977508,8.5456073,488.101,488.101,1756152894408563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.6543976,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5488000,0,47.3977508,8.5456074,488.10200000000003,488.10200000000003,1756152894804563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.01,-0.04,0.5338962,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
5888000,0,47.3977508,8.5456074,488.101,488.101,1756152895204563,0,0.25,0.5,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.03,5.8252106,0,nan,nan,0.0,0.0,0,3,0,0,1,10,0,0,0
