timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1636000,1636000,1310988,1310988,1.278314e-05,-3.728423e-05,2.1305355e-05,0.0,-0.000105344196,-0.039384622,4000,4000,0,0,0,1
2136000,2136000,1310988,1310988,-2.9827379e-05,-9.587537e-06,1.1717854e-05,0.00023463179,0.00044532225,-0.039614465,4000,4000,0,0,0,1
2636000,2636000,1310988,1310988,-1.0652657e-05,-2.13048e-06,-3.5153735e-05,-0.00021068976,-0.00016759345,-0.039461236,4000,4000,0,0,0,1
3136000,3136000,1310988,1310988,-3.0892617e-05,5.326325e-05,6.391638e-06,4.7884034e-05,0.00013886439,-0.03916914,4000,4000,0,0,0,1
3636000,3636000,1310988,1310988,1.597906e-05,7.4567415e-06,3.089265e-05,-0.00032082302,2.8731109e-05,-0.039260123,4000,4000,0,0,0,1
4136000,4136000,1310988,1310988,-2.2370565e-05,3.7284182e-05,-1.4913869e-05,-0.00025378537,0.00025378607,-0.03930322,4000,4000,0,0,0,1
4636000,4636000,1310988,1310988,-2.34358e-05,1.3848475e-05,-7.456848e-06,-0.000100556485,0.000105345556,-0.03891536,4000,4000,0,0,0,1
5136000,5136000,1310988,1310988,1.4913653e-05,-1.3848414e-05,-3.5153767e-05,3.8307233e-05,-6.703698e-05,-0.039245754,4000,4000,0,0,0,1
5636000,5636000,1310988,1310988,1.0651212e-06,6.285062e-05,2.7696866e-05,-9.57681e-06,0.000134076,-0.03962404,4000,4000,0,0,0,1
6136000,6136000,1310988,1310988,-3.302302e-05,-5.2198044e-05,9.693909e-05,-2.873042e-05,-0.00023463112,-0.039240967,4000,4000,0,0,0,1
6636000,6636000,1310988,1310988,-2.3435892e-05,-2.8762126e-05,-4.474109e-05,0.00021068976,-6.224856e-05,-0.039178725,4000,4000,0,0,0,1
7136000,7136000,1310988,1310988,1.2783165e-05,1.8109517e-05,2.8762137e-05,-0.00044532155,-9.57612e-06,-0.039341528,4000,4000,0,0,0,1
7636000,7636000,1310988,1310988,5.752432e-05,-2.4500974e-05,-5.006745e-05,-0.00019632453,-0.00067037594,-0.03921703,4000,4000,0,0,0,1
8136000,8136000,1310988,1310988,0.00010013486,-5.3263248e-06,-1.7044324e-05,-0.00010534488,0.00033518896,-0.039068587,4000,4000,0,0,0,1
8636000,8636000,1310988,1310988,1.9174735e-05,-6.3916436e-06,1.0652659e-05,-7.6614466e-05,-0.00053151214,-0.039073378,4000,4000,0,0,0,1
